ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_en,CodeFigure_SubCentres,Name_SubCentres_en,Status,translation_source
C12/2/252,2,Melbourne,252,Honolulu,Operational,NA
C12/69/204,69,Wellington (RSMC),204,National Institute of Water and Atmospheric Research (NIWA - New Zealand),Operational,NA
C12/69/205,69,Wellington (RSMC),205,Niue,Operational,NA
C12/69/206,69,Wellington (RSMC),206,Rarotonga (Cook Islands),Operational,NA
C12/69/207,69,Wellington (RSMC),207,Apia (Samoa),Operational,NA
C12/69/208,69,Wellington (RSMC),208,Tonga,Operational,NA
C12/69/209,69,Wellington (RSMC),209,Tuvalu,Operational,NA
C12/69/210,69,Wellington (RSMC),210,Kiribati,Operational,NA
C12/69/211,69,Wellington (RSMC),211,Tokelau,Operational,NA
C12/69/243,69,Wellington (RSMC),243,Kelburn,Operational,NA
C12/72/249,72,Singapore,249,Singapore,Operational,NA
C12/191/1,191,French Polynesia (NMC),1,RARS station of Tahiti (French Polynesia),Operational,NA
C12/204/101,204,National Institute of Water and Atmospheric Research (NIWA - New Zealand),101,Maupuia,Operational,NA
C12/204/102,204,National Institute of Water and Atmospheric Research (NIWA - New Zealand),102,Lauder,Operational,NA
C12//7,,REGION VI,,,Operational,NA
C12/74/1,74,"UK Met Office, Exeter (RSMC)",1,Shanwick Oceanic Area Control Centre,Operational,NA
C12/74/2,74,"UK Met Office, Exeter (RSMC)",2,Fucino,Operational,NA
C12/74/3,74,"UK Met Office, Exeter (RSMC)",3,Gatineau,Operational,NA
C12/74/4,74,"UK Met Office, Exeter (RSMC)",4,Maspalomas (Spain),Operational,NA
C12/74/5,74,"UK Met Office, Exeter (RSMC)",5,ESA ERS Central Facility,Operational,NA
C12/74/6,74,"UK Met Office, Exeter (RSMC)",6,Prince Albert,Operational,NA
C12/74/7,74,"UK Met Office, Exeter (RSMC)",7,West Freugh,Operational,NA
C12/74/13,74,"UK Met Office, Exeter (RSMC)",13,Tromso,Operational,NA
C12/74/21,74,"UK Met Office, Exeter (RSMC)",21,Agenzia Spaziale Italiana (Italy),Operational,NA
C12/74/22,74,"UK Met Office, Exeter (RSMC)",22,Centre National de la Recherche Scientifique (France),Operational,NA
C12/74/23,74,"UK Met Office, Exeter (RSMC)",23,GeoForschungs Zentrum (Germany),Operational,NA
C12/74/24,74,"UK Met Office, Exeter (RSMC)",24,Geodetic Observatory Pecny (Czechia),Operational,NA
C12/74/25,74,"UK Met Office, Exeter (RSMC)",25,Institut d'Estudis Espacials de Catalunya (Spain),Operational,NA
C12/74/26,74,"UK Met Office, Exeter (RSMC)",26,Federal Office of Topography (Switzerland),Operational,NA
C12/74/27,74,"UK Met Office, Exeter (RSMC)",27,Nordic Commission of Geodesy (Norway),Operational,NA
C12/74/28,74,"UK Met Office, Exeter (RSMC)",28,Nordic Commission of Geodesy (Sweden),Operational,NA
C12/74/29,74,"UK Met Office, Exeter (RSMC)",29,Institute Geographique National (France) - Service de geodesie,Operational,NA
C12/74/30,74,"UK Met Office, Exeter (RSMC)",30,Bundesamt fuer Kartographie und Geodaesie (Germany),Operational,NA
C12/74/31,74,"UK Met Office, Exeter (RSMC)",31,Institute of Engineering Satellite Surveying and Geodesy (United Kingdom),Operational,NA
C12/74/32,74,"UK Met Office, Exeter (RSMC)",32,Joint Operational Meteorology and Oceanography Centre (JOMOC),Operational,NA
C12/74/33,74,"UK Met Office, Exeter (RSMC)",33,Koninklijk Nederlands Meteorologisch Institut (Netherlands),Operational,NA
C12/74/34,74,"UK Met Office, Exeter (RSMC)",34,Nordic GPS Atmospheric Analysis centre (Sweden),Operational,NA
C12/74/35,74,"UK Met Office, Exeter (RSMC)",35,Instituto Geografico Nacional de Espana (Spain),Operational,NA
C12/74/36,74,"UK Met Office, Exeter (RSMC)",36,Met Eireann (Ireland),Operational,NA
C12/74/37,74,"UK Met Office, Exeter (RSMC)",37,Royal Observatory of Belgium (Belgium),Operational,NA
C12/78/10,78,Offenbach (RSMC),10,POLARA (Polarimetric Radar Algorithms instance),Operational,NA
C12/78/64,78,Offenbach (RSMC),64,Bundeswehr Geoinformation Office (BGIO),Operational,NA
C12/78/110,78,Offenbach (RSMC),110,NowCast mobile (Lightning data),Operational,NA
C12/78/221,78,Offenbach (RSMC),221,"Schleswig-Holstein, Traffic Operations Computing Centre (TOCC) Kiel/Neumuenster",Operational,NA
C12/78/222,78,Offenbach (RSMC),222,"Hamburg, TOCC Hamburg",Operational,NA
C12/78/223,78,Offenbach (RSMC),223,"Niedersachsen, TOCC Hannover",Operational,NA
C12/78/224,78,Offenbach (RSMC),224,Austria (NMC),Operational,NA
C12/78/225,78,Offenbach (RSMC),225,"Nordrhein-Westfalen, TOCC Kamen Leverkusen",Operational,NA
C12/78/226,78,Offenbach (RSMC),226,"Hessen, TOCC Ruesselsheim",Operational,NA
C12/78/227,78,Offenbach (RSMC),227,"Rheinland-Pfalz, TOCC Koblenz",Operational,NA
C12/78/228,78,Offenbach (RSMC),228,"Baden-Wuerttemberg, TOCC Ludwigsburg",Operational,NA
C12/78/229,78,Offenbach (RSMC),229,"Bayern, TOCC Freimann",Operational,NA
C12/78/230,78,Offenbach (RSMC),230,"Saarland, TOCC Rohrbach",Operational,NA
C12/78/231,78,Offenbach (RSMC),231,"Bayern, Autobahn directorate Nordbayern",Operational,NA
C12/78/232,78,Offenbach (RSMC),232,"Brandenburg, TOCC Stolpe",Operational,NA
C12/78/233,78,Offenbach (RSMC),233,"Mecklenburg-Vorpommern, TOCC Malchow",Operational,NA
C12/78/234,78,Offenbach (RSMC),234,"Sachsen, TOCC Dresden",Operational,NA
C12/78/235,78,Offenbach (RSMC),235,"Sachsen-Anhalt, TOCC Halle",Operational,NA
C12/78/236,78,Offenbach (RSMC),236,"Thueringen, TOCC Erfurt",Operational,NA
C12/78/237,78,Offenbach (RSMC),237,EasyWay - Meteotrans,Operational,NA
C12/78/254,78,Offenbach (RSMC),254,EUMETSAT,Operational,NA
C12/80/101,80,Rome (RSMC),101,Albania (NMC),Operational,NA
C12/80/102,80,Rome (RSMC),102,National Research Council/Institute of Atmospheric Sciences and Climate (CNR-ISAC),Operational,NA
C12/85/200,85,Toulouse (RSMC),200,Institut National de l'Environnement Industriel et des Risques (France),Operational,NA
C12/85/201,85,Toulouse (RSMC),201,Rheinisches Institut fuer Umweltforschung an der Universitaet zu Koeln E.V. (Germany),Operational,NA
C12/85/202,85,Toulouse (RSMC),202,Institut Francais de Recherche pour l'Exploitation de la Mer,Operational,NA
C12/85/203,85,Toulouse (RSMC),203,Aarhus University (Denmark),Operational,NA
C12/85/204,85,Toulouse (RSMC),204,Institute of Environmental Protection - National Research Institute (Poland),Operational,NA
C12/89/1,89,Prague (RTH),1,Solar and Ozone Observatory Hradec Kralove,Operational,NA
C12/96/1,96,Athens,1,Cyprus (NMC),Operational,NA
C12/211/10,211,Lannion,10,Saint-Denis (La Reunion),Operational,NA
C12/227/1,227,Belgium (NMC),1,Luxembourg (NMC),Operational,NA
C12/250/76,250,COSMO (COnsortium for Small scale MOdelling),76,Roshydromet (Russian Federation),Operational,NA
C12/250/78,250,COSMO (COnsortium for Small scale MOdelling),78,Deutscher Wetterdienst (Germany),Operational,NA
C12/250/80,250,COSMO (COnsortium for Small scale MOdelling),80,Ufficio Generale Spazio Aereo e Meteorologia (Italy),Operational,NA
C12/250/96,250,COSMO (COnsortium for Small scale MOdelling),96,Hellenic National Meteorological Service (Greece),Operational,NA
C12/250/215,250,COSMO (COnsortium for Small scale MOdelling),215,MeteoSwiss (Switzerland),Operational,NA
C12/250/220,250,COSMO (COnsortium for Small scale MOdelling),220,Institute of Meteorology and Water Management (Poland),Operational,NA
C12/250/242,250,COSMO (COnsortium for Small scale MOdelling),242,National Meteorological Administration (Romania),Operational,NA
C12/254/10,254,EUMETSAT Operation Centre,10,Tromso (Norway),Operational,NA
