ID,CodeFigure,UnitType_en,Meaning_en,conventional,IA5-ASCII,ITA2,SIDefinition,Note,NoteID,Status,translation_source
C06/764,764,Other units,square metres per hertz,m^2 Hz^-1,m2/Hz,,,,,Operational,NA
C06/765,765,Other units,cubic metres,m^3,m3,,,,,Operational,NA
C06/766,766,Other units,cubic metres per second,m^3 s^-1,m3/s,,,,,Operational,NA
C06/767,767,Other units,cubic metres per cubic metre,m^3 m^-3,m3 m-3,,,,,Operational,NA
C06/768,768,Other units,metres to the fourth power,m^4,m4,,,,,Operational,NA
C06/769,769,Other units,metres to the two thirds power per second,m^2/3 s^-1,m2/3 s-1,,,,,Operational,NA
C06/772,772,Other units,logarithm per metre,log (m^-1),log (m-1),,,,,Operational,NA
C06/773,773,Other units,logarithm per square metre,log (m^-2),log (m-2),,,,,Operational,NA
C06/775,775,Other units,kilograms per metre,km m^-1,kg/m,,,,,Operational,NA
C06/776,776,Other units,kilograms per square metre per second,kg m^-2 s^-1,kg m-2 s-1,,,,,Operational,NA
C06/777,777,Other units,kilograms per cubic metre,kg m^-3,kg m-3,,,,,Operational,NA
C06/778,778,Other units,per square kilogram per second,kg^-2 s^-1,kg-2 s-1,,,,,Operational,NA
C06/779,779,Other units,seconds per metre,s m^-1,s/m,,,,,Operational,NA
C06/785,785,Other units,kelvin metres per second,K m s^-1,K m s-1,,,,,Operational,NA
C06/786,786,Other units,kelvins per metre,K m^-1,K/m,,,,,Operational,NA
C06/787,787,Other units,kelvin square metres per kilogram per second,K m^2 kg^-1 s^-1,K m2 kg-1 s-1,,,,,Operational,NA
C06/788,788,Other units,moles per mole, mol mol^-1,mol/mol,,,,,Operational,NA
C06/790,790,Other units,radians per metre,rad m^-1,rad/m,,,,,Operational,NA
C06/795,795,Other units,newtons per square metre,N m^-2,N m-2,,,,,Operational,NA
C06/800,800,Other units,pascals per second,Pa s^-1,Pa/s,,,,,Operational,NA
C06/801,801,Other units,kilopascal,kPa,kPa,,,,,Operational,NA
C06/805,805,Other units,joules per square metre,J m^-2,J m-2,,,,,Operational,NA
C06/806,806,Other units,joules per kilogram,J kg^-1,J/kg,,,,,Operational,NA
C06/810,810,Other units,watts per metre per steradian,W m^-1 sr^-1,W m-1 sr-1,,,,,Operational,NA
C06/811,811,Other units,watts per square metre,W m^-2,W m-2,,,,,Operational,NA
C06/812,812,Other units,watts per square metre per steradian,W m^-2 sr^-1,W m-2 sr-1,,,,,Operational,NA
C06/813,813,Other units,watts per square metre per steradian centimetre,W m^-2 sr^-1 cm,W m-2 sr-1 cm,,,,,Operational,NA
C06/814,814,Other units,watts per square metre per steradian metre,W m^-2 sr^-1 m,W m-2 sr-1 m,,,,,Operational,NA
C06/815,815,Other units,watts per cubic metre per steradian,W m^-3 sr^-1,W m-3 sr-1,,,,,Operational,NA
C06/820,820,Other units,siemens per metre,S m^-1,S/m,,,,,Operational,NA
C06/825,825,Other units,square degrees,degrees^2,deg2,,,,,Operational,NA
C06/830,830,Other units,becquerel seconds per cubic metre,Bq s m^-3,Bq s m-3,,,,,Operational,NA
C06/835,835,Other units,decibels per metre,dB m^-1,dB/m,,,(see Note 6),17,Operational,NA
C06/836,836,Other units,decibels per degree,dB degree^-1,dB/deg,,,(see Note 6),17,Operational,NA
C06/841,841,Other units,pH unit,pH unit,pH unit,,,,,Operational,NA
C06/842,842,Other units,N units,N units,N units,,,,,Operational,NA
C06/843,843,Other units,Nephelometric turbidity units,NTU,,,,,,Operational,NA
C06/844,844,Other units,Total electron content unit,TECU,,,10^16 Electrons m^-2,,,,NA
C06/845,845,Other units,per kelvin,K^-1,K-1,,,,,,NA
C06/846,846,Other units,square kelvin,K^2,K2,,,,,,NA
C06/847,847,Other units,logarithm square metre per square metre,log(m^2 m^-2),log(m2 m-2),,,,,,NA
C06/848,848,Other units,logarithm cubic metre per square metre,log(m^3 m^-2),log(m3 m-2),,,,,,NA
C06/849,849,Other units,kilograms per square metre per hour,kg m^-2 h^-1,kg m-2 h-1,,,,,,NA
C06/850,850,Other units,kelvin per kelvin,K K^-1,K K-1,,,,,,NA
C06/851,851,Other units,watts per square metre per steradian per micrometre,W m^-2 sr^-1 um^-1,W m-2 sr-1 um-1,,,,,,NA
C06/852,852,Other units,candela per square metre,cd m^-2,cd m-2,,,,,,NA
C06/853,853,Other units,logarithm per cubic metre,log(m^-3),log(m-3),,,,,,NA
C06/854,854,Other units,per square metre,m^-2,m-2,,,,,,NA
C06/855,855,Other units,per metre per steradian,m^-1 sr^-1,m-1 sr-1,,,,,,NA
C06/856,856,Other units,volts per metre,V m^-1,V m-1,,,,,,NA
C06/857,857,Other units,per hour,h^-1,h-1,,,,,,NA
C06/858,858,Other units,square metre seconds per radian,m^2 s rad^-1,m2 s rad-1,,,,,,NA
C06/859,859,Other units,micromoles per kilogram,umol kg^-1,umol kg-1,,,,,,NA
C06/860,860,Other units,nanosieverts per hour,nSv h^-1,nSv h-1,,,,,,NA
C06/861,861,Other units,metres per second per pascal,m s^-1 Pa^-1,m s-1 Pa-1,,,,,,NA
C06/862,862,Other units,metres per second per kelvin,m s^-1 K^-1,m s-1 K-1,,,,,,NA
C06/863,863,Other units,moles per square centimetre,mol cm^-2,mol cm-2,,,,,,NA
C06/864,864,Other units,kilograms per litre,kg l^-1,kg l-1,,,,,,NA
C06/865,865,Other units,milligrams per cubic metre,mg m^-3,mg m-3,,,,,,NA
C06/na1,na1,SI unit prefixes,yotta,Y,Y,Y,,"(see Notes 1, 3 and 4)","19,10",,NA
C06/na2,na2,SI unit prefixes,zetta,Z,Z,Z,,,,,NA
C06/na3,na3,SI unit prefixes,exa,E,E,E,,,,,NA
C06/na4,na4,SI unit prefixes,peta,P,P,PE,,,,,NA
C06/na5,na5,SI unit prefixes,tera,T,T,T,,,,,NA
C06/na6,na6,SI unit prefixes,giga,G,G,G,,,,,NA
C06/na7,na7,SI unit prefixes,mega,M,M,MA,,,,,NA
C06/na8,na8,SI unit prefixes,kilo,k,k,K,,,,,NA
C06/na9,na9,SI unit prefixes,hecto,h,h,H,,,,,NA
C06/na10,na10,SI unit prefixes,deca,da,da,D,,,,,NA
C06/na11,na11,SI unit prefixes,deci,d,d,D,,,,,NA
C06/na12,na12,SI unit prefixes,centi,c,c,C,,,,,NA
C06/na13,na13,SI unit prefixes,milli,m,m,M,,,,,NA
C06/na14,na14,SI unit prefixes,micro,µ,u,U,,,,,NA
C06/na15,na15,SI unit prefixes,nano,n,n,N,,,,,NA
C06/na16,na16,SI unit prefixes,pico,p,p,P,,,,,NA
C06/na17,na17,SI unit prefixes,femto,f,f,F,,,,,NA
C06/na18,na18,SI unit prefixes,atto,a,a,A,,,,,NA
C06/na19,na19,SI unit prefixes,zepto,z,z,,,,,,NA
C06/na20,na20,SI unit prefixes,yocto,y,y,,,,,,NA
