ID,DateOfAssignment_en,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_en,Status,translation_source
,,85-89,185-189,Not vacant,Operational,NA
,,Not available,190,NCAR research dropsonde NRD94 with GPS and Vaisala RS92-based sensor module (United States),Operational,NA
,,Not available,191,NCAR research dropsonde NRD41 with GPS and Vaisala RS41-based sensor module (United States),Operational,NA
,,Not available,192,Vaisala/NCAR dropsonde RD94 with GPS and Vaisala RS92-based sensor module (Finland/United States),Operational,NA
,,Not available,193,Vaisala/NCAR dropsonde RD41 with GPS and Vaisala RS41-based sensor module (Finland/United States),Operational,NA
,,Not available,194-196,Reserved for BUFR only,Operational,NA
,,97-99,197-199,Not vacant,Operational,NA
,16/11/2020,Not available,200,Nanjing GTS11 (China),Operational,NA
,16/11/2020,Not available,201,Shanghai GTS12 (China),Operational,NA
,16/11/2020,Not available,202,Taiyuan GTS13 (China),Operational,NA
,15/05/2022,Not available,203,Shanghai GTS14 (China),Operational,NA
,14/11/2023,Not available,204,Beijing GTH1 (China),Operational,NA
,14/11/2023,Not available,205,Nanjing GTH2 (China),Operational,NA
,14/11/2023,Not available,206,Tianjin GTH3 (China),Operational,NA
,14/11/2023,Not available,207,Aerospace Newsky Technology GTH4 (China),Operational ,NA
,14/11/2023,Not available,208,Taiyuan GTH5 (China),Operational,NA
,14/11/2023,Not available,209,Shanghai GTH6 (China),Operational,NA
,,Not available,210-254,Reserved for BUFR only,Operational,NA
,,,255,Missing value,Operational,NA
