ID,Code,Agency_en,Type_en,InstrumentShortName_en,InstrumentLongName_en,Status,translation_source
C08/116,116,DLR,Magnetometer,CHAMP gravity package (Accelerometer+GPS),STAR accelerometer,Operational,NA
C08/117,117,DLR,Magnetometer,CHAMP magnetometry package (1 scalar+2 vector magnetometer),Overhauser magnetometer (OVM) and fluxgate magnetometer (FGM),Operational,NA
C08/120,120,ESA,Communications,ENVISAT Comms,Communications package on ENVISAT,Operational,NA
C08/121,121,ESA,Communications,ERS Comms,Communication package for ERS,Operational,NA
C08/130,130,ESA,Lidar,ALADIN,Atmospheric laser Doppler instrument,Operational,NA
C08/131,131,ESA,Lidar,ATLID,Atmospheric lidar,Operational,NA
C08/140,140,ESA,Radar,AMI/SAR/image,Active microwave instrumentation image mode,Operational,NA
C08/141,141,ESA,Radar,AMI/SAR/wave,Active microwave instrumentation wave mode,Operational,NA
C08/142,142,ESA,Radar,AMI/scatterometer,Active microwave instrumentation wind mode,Operational,NA
C08/143,143,ESA,Radar,ASAR,ASAR,Operational,NA
C08/144,144,ESA,Imaging microwave,ASAR,Advanced synthetic aperture radar (image mode),Operational,NA
C08/145,145,ESA,Imaging microwave,ASAR,Advanced synthetic aperture radar (wave mode),Operational,NA
C08/146,146,ESA,Cloud profile and rain radar,CPR,Cloud radar,Operational,NA
C08/147,147,ESA,Radar,RA-2/MWR,Radar altimeter-2,Operational,NA
C08/148,148,ESA,Radar,RA/MWR,Radar altimeter,Operational,NA
C08/150,150,ESA,Scatterometer,SCATTEROMETER,Scatterometer,Operational,NA
C08/151,151,ESA,Imaging radar,SAR-C,Synthetic Aperture Radar (C-band),Operational,NA
C08/152,152,ESA,Cross-nadir scanning,SW,Sounder TROPOMI Tropospheric Monitoring Instrument,Operational,NA
C08/161,161,ESA,Radiometer,MIPAS,Michelson interferometric passive atmosphere sounder,Operational,NA
C08/162,162,ESA,Imaging multi-spectral radiometer (passive microwave),MWR-2,Microwave radiometer-2,Operational,NA
C08/163,163,ESA,Atmospheric chemistry instrument,SOPRANO,Sub-millimetre observation of processes in the absorption noteworthy for ozone,Operational,NA
C08/170,170,ESA,Atmospheric chemistry instrument,GOME,Global ozone monitoring experiment,Operational,NA
C08/172,172,ESA,Spectrometer,GOMOS,Global ozone monitoring by occultation of stars,Operational,NA
C08/173,173,ESA,Spectrometer,ALTIUS,Atmospheric Limb Tracker for Investigation of the Upcoming Stratosphere,Operational,NA
C08/174,174,ESA,Spectrometer,MERIS,Medium resolution imaging spectrometer,Operational,NA
C08/175,175,ESA,Spectrometer,SCIAMACHY,Scanning imaging absorption spectrometer for atmospheric cartography,Operational,NA
C08/176,176,ESA,Radiometer,MIRAS,Microwave imaging radiometer using aperture synthesis,Operational,NA
C08/177,177,ESA,Radar Altimeter,SIRAL,SAR/Interferometric Radar Altimeter,Operational,NA
C08/178,178,ESA,Radar altimeter,SRAL,Synthetic aperture radar altimeter,Operational,NA
C08/179,179,ESA,Moderate resolution optical imager,OLCI,Ocean and land colour imager,Operational,NA
C08/180,180,ESA,Moderate resolution optical imager,SLSTR,Sea and land surface temperature radiometer,Operational,NA
C08/181,181,EUMETSAT,Communications,METEOSAT Comms,Communications package for METEOSAT,Operational,NA
C08/182,182,EUMETSAT,Communications,MSG Comms,Communications package for MSG,Operational,NA
C08/190,190,ESA/EUMETSAT,Scatterometer,ASCAT,Advanced scatterometer,Operational,NA
C08/200,200,EUMETSAT,Radiometer,GERB,Geostationary Earth radiation budget,Operational,NA
C08/202,202,ESA/EUMETSAT,Radiometer,GRAS,GNSS receiver for atmospheric sounding,Operational,NA
C08/203,203,EUMETSAT,Radiometer,MHS,Microwave humidity sounder,Operational,NA
C08/205,205,EUMETSAT,Radiometer,MVIRI,METEOSAT visible and infrared imager,Operational,NA
C08/207,207,EUMETSAT,Radiometer,SEVIRI,Spinning enhanced visible and infrared imager,Operational,NA
C08/208,208,EUMETSAT,Imaging multi-spectral radiometer (vis/IR),VIRI,VIRI,Operational,NA
C08/209,209,ESA,Radiometer,MWR,EPS Sterna Radiometer,Operational,NA
C08/210,210,ESA/EUMETSAT/Thales Alenia Space,Imager,FCI,Flexible Combined Imager,Operational,NA
C08/211,211,ESA/EUMETSAT/Leonardo,Imager,LI,Lightning imager,Operational,NA
C08/212,212,ESA/EUMETSAT/OHB,Interferometer,IRS,Infrared sounder,Operational,NA
C08/213,213,ESA/EUMETSAT/Copernicus - Airbus,Spectrometer,S4,Ultraviolet and Near-Infrared Multispectral Spectrometer (S4 UVN),Operational,NA
C08/214,214,ESA,Spectrometer,CO2I,Integrated CO2 and NO2 Imaging Spectrometer,Operational,NA
C08/215,215,ESA,Multiple direction/polarization radiometer,MAP,Multi-Angle Polarimeter,Operational,NA
C08/216,216,ESA,Imaging multi-spectral radiometer (vis/IR),CLIM,Cloud Imager,Operational,NA
C08/220,220,ESA/EUMETSAT,Spectrometer,GOME-2,Global ozone monitoring experiment-2,Operational,NA
C08/221,221,CNES/EUMETSAT,Atmospheric temperature and humidity sounder,IASI,Infrared atmospheric sounding interferometer,Operational,NA
C08/230,230,ESA/EUMETSAT,Radiometer,3MI,Multi-viewing Multi-channel Multi-polarisation Imaging,Operational,NA
C08/231,231,CNES/EUMETSAT,Sounder - interferometer,IASI-NG,Infrared Atmospheric Sounding Interferometer - New Generation,Operational,NA
C08/232,232,DLR/EUMETSAT,Radiometer,METimage,Meteorological Imager,Operational,NA
C08/233,233,ESA/EUMETSAT,Radiometer,MWS,Microwave Sounder,Operational,NA
C08/234,234,ESA/EUMETSAT,Radio Occultation,RO,Radio Occultation,Operational,NA
C08/235,235,ESA/EUMETSAT/EU,Spectrometer,S5/UVNS,Copernicus Sentinel-5 Ultraviolet Visible Near-infrared and Shortwave-infrared Spectrometer,Operational,NA
C08/236,236,ESA/EUMETSAT,Radiometer,ICI,Ice Cloud Imager,Operational,NA
C08/237,237,ESA/EUMETSAT,Radiometer,MWI,Microwave Imager,Operational,NA
C08/238,238,ESA/EUMETSAT,Radar,SCA,Scatterometer,Operational,NA
C08/240,240,CAST,Communications,DCP,Data-collection platform transponder,Operational,NA
C08/245,245,CAST,Radiometer,CCD,High-resolution CCD camera,Operational,NA
C08/246,246,INPE,Atmospheric temperature and humidity sounder,HSB,Humidity sounder/Brazil,Operational,NA
C08/248,248,INPE,Imaging multi-spectral radiometer (vis/IR),OBA,Observador Brasileiro da Amazonia,Operational,NA
C08/250,250,CAST,Radiometer,WFI,Wide field imager,Operational,NA
C08/255,255,CAST,Spectrometer,IRMSS,Infrared multispectral scanner,Operational,NA
C08/260,260,ISRO,Precision orbit,BSS & FSS transponders,,Operational,NA
C08/261,261,ISRO,Precision orbit,DRT-S&R,,Operational,NA
C08/262,262,ISRO,Communications,INSAT Comms,Communications package for INSAT,Operational,NA
C08/268,268,ISRO,High-resolution optical imager,HR-PAN,High-resolution panchromatic camera,Operational,NA
C08/269,269,ISRO,Imaging multi-spectral radiometer (passive microwave),MSMR,Multifrequency scanning microwave radiometer,Operational,NA
C08/270,270,ISRO,Imaging multi-spectral radiometer (vis/IR),VHRR,Very high-resolution radiometer,Operational,NA
C08/271,271,ISRO,Imaging multi-spectral radiometer (vis/IR),WiFS,Wide field sensor,Operational,NA
C08/275,275,ISRO,High-resolution optical imager,AWiFS,Advanced wide field sensor,Operational,NA
C08/276,276,ISRO,High-resolution optical imager,LISS-I,Linear imaging self scanner-I,Operational,NA
C08/277,277,ISRO,High-resolution optical imager,LISS-II,Linear imaging self scanner-II,Operational,NA
C08/278,278,ISRO,High-resolution optical imager,LISS-III,Linear imaging self scanner-III,Operational,NA
C08/279,279,ISRO,High-resolution optical imager,LISS-IV,Linear imaging self scanner-IV,Operational,NA
C08/284,284,ISRO,High-resolution optical imager,PAN,Panchromatic sensor,Operational,NA
C08/285,285,ISRO,Imaging multi-spectral radiometer (vis/IR),MOS,Modular opto-electronic scanner,Operational,NA
C08/286,286,ISRO,Ocean colour instrument,OCM,Ocean colour monitor,Operational,NA
C08/287,287,ASI,,ROSA,Radio Occultation Sounder of the Atmosphere,Operational,NA
C08/288,288,ISRO,Scatterometer,SCAT,Scatterometer,Operational,NA
C08/289,289,ISRO,Optical imager,IMG,Imager,Operational,NA
C08/290,290,JMA,Communications,MTSAT Comms,Communications package for MTSAT,Operational,NA
C08/291,291,JMA,Communications,Himawari Comms,Communications package for Himawari,Operational,NA
C08/294,294,JMA,Imaging multi-spectral radiometer,JAMI,Japanese Advanced Meteorological Imager,Operational,NA
C08/295,295,JMA,Imaging multi-spectral radiometer,IMAGER/MTSAT-2,Imager/MTSAT-2,Operational,NA
C08/296,296,JMA,Imaging multi-spectral radiometer,VISSR,Visible and infrared spin scan radiometer,Operational,NA
C08/297,297,JMA,Imaging multi-spectral radiometer,AHI,Advanced Himawari Imager,Operational,NA
C08/300,300,NASA,Lidar,GLAS,Geoscience laser altimeter system,Operational,NA
C08/301,301,NASA,Precision orbit,LRA,Laser retroreflector array,Operational,NA
C08/302,302,NASA,Lidar,MBLA,Multi-beam laser altimeter,Operational,NA
C08/303,303,NASA,Lidar,CALIOP,Cloud-aerosol lidar with orthogonal polarization,Operational,NA
C08/309,309,NASA,Cloud profile and rain radar,CPR (Cloudsat),Cloud profiling radar,Operational,NA
C08/312,312,NASA,Radar,NSCAT,NASA scatterometer,Operational,NA
C08/313,313,NASA,Radar,SeaWinds,ADEOS II - NASA scatterometer,Operational,NA
C08/314,314,NASA,Radar,RapidScat,RapidScat scatterometer,Operational,NA
C08/330,330,NASA,Earth radiation budget radiometer,ACRIM,Active cavity radiometer irradiance monitor,Operational,NA
C08/334,334,NASA,Total and profile ozone,BUV,Backscatter ultraviolet instrument,Operational,NA
C08/336,336,NASA,High-resolution optical imager,ALI,Advanced land imager,Operational,NA
C08/347,347,NASA,High-resolution optical imager,ASTER,Advanced spaceborne thermal emission and reflection radiometer,Operational,NA
C08/348,348,NASA,Earth radiation budget radiometer,CERES-2,Cloud and the Earth's radiant energy system,Operational,NA
C08/351,351,NASA,Atmospheric temperature and humidity sounder,GPSDR,GPS demonstration receiver,Operational,NA
C08/353,353,NASA,Total and profile ozone,HiRDLS,High-resolution dynamics limb sounder,Operational,NA
C08/354,354,NASA,Total and profile ozone,HRDI,High-resolution Doppler imager,Operational,NA
C08/356,356,NASA,Radiometer,LIS,Lightning imaging sensor,Operational,NA
C08/358,358,NASA,"Magnetic field, auroal imagery scintillation boundary",PEM,Particle environment monitor,Operational,NA
C08/359,359,NASA,Ocean colour instrument,SeaWiFS,Sea-viewing wide field-of-view sensor,Operational,NA
C08/360,360,NASA,Earth radiation budget radiometer,SUSIM (UARS),Solar ultraviolet irradiance monitor,Operational,NA
C08/363,363,NASA,Total and profile ozone,SBUV/1,Solar backscatter ultraviolet 1 instrument,Operational,NA
C08/365,365,NASA,Imaging multi-spectral radiometer (passive microwave),TMI,TRMM microwave imager,Operational,NA
C08/366,366,NASA,Imaging multi-spectral radiometer (passive microwave),JMR,JASON-1 microwave radiometer,Operational,NA
C08/367,367,NASA,Imaging multi-spectral radiometer,AMR,Advanced microwave radiometer,Operational,NA
C08/368,368,NASA,Radiometer,MW radiometer,Microwave radiometer,Operational,NA
C08/369,369,NASA,Total and profile ozone,LIMS,Limb infrared monitor of the stratosphere,Operational,NA
C08/370,370,NASA,Total and profile ozone,LRIR,Limb radiance inversion radiometer instrument,Operational,NA
C08/371,371,NASA,Total and profile ozone,EPIC,Earth polychromatic imaging camera,Operational,NA
C08/372,372,NASA,Earth radiation budget radiometer,NISTAR,NIST advanced radiometer,Operational,NA
C08/373,373,NASA,"Magnetic field, auroal imagery scintillation boundary",Plasma-Mag,,Operational,NA
C08/374,374,NASA,Other,XPS,XUV photometer system,Operational,NA
C08/375,375,NASA,Imaging multi-spectral radiometer (vis/IR),VIRS,Visible infrared scanner,Operational,NA
C08/376,376,CNES,Multiple direction/polarization radiometer,POLDER II,Polarization and directionality of the Earth's reflectance-II,Operational,NA
C08/377,377,NASA,Earth radiation budget radiometer,TIM,Total irradiance monitor,Operational,NA
C08/379,379,NASA,Imaging multi-spectral radiometer (vis/IR),WFC,Wide field camera,Operational,NA
C08/382,382,NASA,Spectro-radiometer,CLAES,Cryogenic limb array etalon spectrometer,Operational,NA
C08/383,383,NASA,Spectro-radiometer,HALOE,Halogen occultation experiment,Operational,NA
C08/384,384,NASA,Spectro-radiometer,ISAMS,Improved stratospheric and mesospheric sounder,Operational,NA
C08/385,385,NASA,Spectro-radiometer,MISR,Multi-angle imaging spectroradiometer,Operational,NA
C08/386,386,NASA,Spectro-radiometer,MLS,Microwave limb sounder,Operational,NA
C08/387,387,NASA,Spectro-radiometer,MLS (EOS-Aura),Microwave limb sounder (EOS-Aura),Operational,NA
C08/389,389,NASA,Spectro-radiometer,MODIS,Moderate-resolution imaging spectroradiometer,Operational,NA
C08/393,393,NASA,Gravity,HAIRS,High accuracy inter-satellite ranging system,Operational,NA
C08/394,394,NASA,Total and profile ozone,OMI,Ozone measuring instrument,Operational,NA
C08/395,395,NASA,Radiometer,Atmospheric corrector,Atmospheric corrector,Operational,NA
C08/396,396,NASA,Radiometer,Hyperion,Hyperspectral imager,Operational,NA
C08/397,397,NASA,Radiometer,HRIR,High-resolution infrared radiometer,Operational,NA
C08/398,398,NASA,Radiometer,MRIR,Medium resolution infrared radiometer,Operational,NA
C08/399,399,NASA,Spectro-radiometer,SAGE I,Stratospheric aerosol and gas experiment-I,Operational,NA
C08/400,400,NASA,Spectro-radiometer,SAGE II,Stratospheric aerosol and gas experiment-II,Operational,NA
C08/401,401,NASA,Spectro-radiometer,SAGE III,Stratospheric aerosol and gas experiment-III,Operational,NA
C08/402,402,NASA,Spectro-radiometer,SAMS,Stratospheric and mesospheric sounder,Operational,NA
C08/403,403,NASA,Spectro-radiometer,SAM-II,Stratospheric aerosol measurement-II,Operational,NA
C08/404,404,NASA,Spectro-radiometer,IRIS,Infrared interferometer spectrometer,Operational,NA
C08/405,405,NASA,Atmospheric temperature and humidity sounder,GIFTS,Geosynchronous imaging Fourier transform spectrometer,Operational,NA
C08/420,420,NASA,Spectrometer,AIRS,Atmospheric Infrared sounder,Operational,NA
C08/421,421,NASA,Spectrometer,SIRS-A,Satellite infrared spectrometer-A,Operational,NA
C08/422,422,NASA,Spectrometer,SIRS-B,Satellite infrared spectrometer-B,Operational,NA
C08/426,426,NASA,Spectrometer,SOLSTICE,Solar stellar irradiance comparison experiment,Operational,NA
C08/430,430,NASA,Spectrometer,TES,Tropospheric emission spectrometer,Operational,NA
C08/431,431,NASA,Spectrometer,TOMS,Total ozone mapping spectrometer,Operational,NA
C08/432,432,NASA,Spectrometer,OCO,Orbiting carbon observatory,Operational,NA
C08/433,433,NASA,Spectrometer,TMS,TROPICS Millimeter-wave Sounder,Operational,NA
C08/434,434,NASA,MW radiometer,SMAP,Soil Moisture Active-Passive,Operational,NA
C08/435,435,NASA,Spectrometer,TEMPO,Tropospheric Emissions: Monitoring of Pollution,Operational,NA
C08/450,450,JAXA,Communications,ADEOS Comms,Communications package for ADEOS,Operational,NA
C08/451,451,JAXA,Communications,DCS (JAXA),Data-collection system (JAXA),Operational,NA
C08/453,453,NASDA,Communications,GMS Comms,Communications package on GMS,Operational,NA
C08/454,454,NASDA,Communications,JERS-1 Comms,Communications package for JERS-1,Operational,NA
C08/460,460,NASDA,Lidar,RIS,Retroreflector in space,Operational,NA
C08/461,461,NASDA,Radar,PR,Precipitation radar,Operational,NA
C08/462,462,NASDA,Imaging microwave radar,SAR,Synthetic aperture radar,Operational,NA
C08/470,470,JAXA,Imaging microwave radar,PALSAR,Phased array type L-band synthetic aperture radar,Operational,NA
C08/477,477,JAXA,Imaging multi spectral radiometer (passive microwave),AMSR3,Advanced Microwave Scanning Radiometer 3,Operational,NA
C08/478,478,JAXA,Imaging multi-spectral radiometer (passive microwave),AMSR2,Advanced Microwave Scanning Radiometer 2,Operational,NA
C08/479,479,JAXA,Imaging multi-spectral radiometer (passive microwave),AMSR-E,Advanced microwave scanning radiometer - EOS,Operational,NA
C08/480,480,JAXA,High-resolution optical imager,PRISM (ALOS),Panchromatic remote-sensing instrument for stereo mapping,Operational,NA
C08/481,481,JAXA,Radiometer,AMSR,Advanced microwave scanning radiometer,Operational,NA
C08/482,482,NASDA,High-resolution optical imager,AVNIR,Advanced visible and near infrared radiometer,Operational,NA
C08/483,483,JAXA,High-resolution optical imager,AVNIR-2,Advanced visible and near infrared radiometer type 2,Operational,NA
C08/484,484,JAXA,Imager,GLI,Global imager,Operational,NA
C08/485,485,NASDA,Radiometer,MESSR,Multispectral electronic self scanning radiometer,Operational,NA
C08/486,486,NASDA,Radiometer,MSR,Microwave scanning radiometer,Operational,NA
C08/487,487,NASDA,Radiometer,OCTS,Ocean colour and temperature scanner,Operational,NA
C08/488,488,NASDA,Radiometer,OPS,Optical sensor,Operational,NA
C08/489,489,NASDA,Radiometer,VISSR (GMS-5),Visible and infrared spin scan radiometer (GMS-5),Operational,NA
C08/490,490,NASDA,Radiometer,VTIR,Visible and thermal infrared radiometer,Operational,NA
C08/510,510,NASDA,Spectrometer,ILAS-I,Improved limb atmospheric spectrometer,Operational,NA
C08/511,511,NASDA,Spectrometer,ILAS-II,Improved limb atmospheric spectrometer,Operational,NA
C08/512,512,NASDA,Spectrometer,IMG,Inferometric monitor of greenhouse gases,Operational,NA
C08/514,514,NASDA,Space environment,SEM,Space environment monitor (NASDA),Operational,NA
C08/515,515,JAXA,Total and profile ozone,SOFIS,Solar occultation Fourier transform spectrometer for inclined orbit satellite,Operational,NA
C08/516,516,JAXA,Spectrometer,TANSO-FTS,Thermal and Near infrared Sensor for carbon Observations (TANSO) Fourier Transform Spectrometer (FTS),Operational,NA
C08/517,517,JAXA,Imager,TANSO-CAI,Thermal and Near infrared Sensor for carbon Observations (TANSO) Cloud and Aerosol Imager (CAI),Operational,NA
C08/518,518,JAXA,Cloud and precipitation radar,DPR,Dual-frequency precipitation radar,Operational,NA
C08/519,519,NASA,"MW imaging/sounding radiometer, conical scanning",GMI,GPM microwave imager,Operational,NA
C08/520,520,NASA,Imaging radiometer,SMMR,Scanning Multichannel Microwave Radiometer,Operational,NA
C08/521,521,JAXA,Spectrometer,TANSO-FTS2,Thermal and Near infrared Sensor for carbon Observations (TANSO) - Fourier Transform Spectrometer/2,Operational,NA
C08/526,526,GeoOptics,GNSS occultation sounder,Cion-A,GeoOptics Cion GNSS occultation receiver A,Operational,NA
C08/527,527,GeoOptics,GNSS occultation sounder,Cion-B,GeoOptics Cion GNSS occultation receiver B,Operational,NA
C08/528,528,GeoOptics,GNSS occultation sounder,Cion-C,GeoOptics Cion GNSS occultation receiver C,Operational,NA
C08/529,529,GeoOptics,GNSS occultation sounder,Cion-D,GeoOptics Cion GNSS occultation receiver D,Operational,NA
C08/530,530,Spire,GNSS occultation sounder,SGNOS-A,Spire global navigation satellite system occultation sounder A,Operational,NA
C08/531,531,Spire,GNSS occultation sounder,SGNOS-B,Spire global navigation satellite system occultation sounder B,Operational,NA
C08/532,532,Spire,GNSS occultation sounder,SGNOS-C,Spire global navigation satellite system occultation sounder C,Operational,NA
C08/533,533,Spire,GNSS occultation sounder,SGNOS-D,Spire global navigation satellite system occultation sounder D,Operational,NA
C08/534,534,PlanetiQ,GNSS occultation sounder,Pyxis-A,PlanetiQ Pyxis GNSS occultation receiver A,Operational,NA
C08/535,535,PlanetiQ,GNSS occultation sounder,Pyxis-B,PlanetiQ Pyxis GNSS occultation receiver B,Operational,NA
C08/536,536,tomorrow.io,Radiometer,MWS,Microwave sounder,Operational,NA
C08/537,537,tomorrow.io,Radar,KAPR,Ka band precipitation radar,Operational,NA
C08/540,540,NOAA,Communications,DCS (NOAA),Data-collection system (NOAA),Operational,NA
C08/541,541,NOAA,Communications,GOES Comms,Communications package on GOES,Operational,NA
C08/542,542,NOAA,Communications,LANDSAT Comms,Communications package for LANDSAT,Operational,NA
C08/543,543,NOAA,Communications,NOAA Comms,Communications package for NOAA,Operational,NA
C08/544,544,NOAA,Communications,S&R (GOES),Search and rescue,Operational,NA
C08/545,545,NOAA,Communications,S&R (NOAA),Search and rescue,Operational,NA
C08/546,546,NOAA,Communications,WEFAX,Weather facsimile,Operational,NA
C08/547,547,NOAA,Spectrometer,SEM (GOES),Space environment monitor,Operational,NA
C08/550,550,NOAA,Magnetic field,SSM,Special sensor magnetometer,Operational,NA
C08/551,551,NOAA,Magnetic field,SSJ/4,Special sensor precipitating plasma monitor,Operational,NA
C08/552,552,NOAA,Space environment,SSIES-2,Special sensor ionospheric plasma drift/scintillation meter,Operational,NA
C08/553,553,NOAA,Space environment,SSB/X-2,Special sensor gamma ray particle detector,Operational,NA
C08/570,570,NOAA,Radiometer,AMSU-A,Advanced microwave sounding unit-A,Operational,NA
C08/574,574,NOAA,Radiometer,AMSU-B,Advanced microwave sounding unit-B,Operational,NA
C08/580,580,NOAA,Radiometer,ATOVS (HIRS/3 + AMSU + AVHRR/3),Advanced TIROS operational vertical sounder,Operational,NA
C08/590,590,NOAA,Radiometer,AVHRR/2,Advanced very high-resolution radiometer/2,Operational,NA
C08/591,591,NOAA,Radiometer,AVHRR/3,Advanced very high-resolution radiometer/3,Operational,NA
C08/592,592,NOAA,Radiometer,AVHRR/4,Advanced very high-resolution radiometer/4,Operational,NA
C08/600,600,NOAA,Radiometer,ERBE,Earth's radiation budget experiment,Operational,NA
C08/601,601,NOAA,Radiometer,ETM+,Enhanced thematic mapper,Operational,NA
C08/604,604,NOAA,Radiometer,HIRS/1,High-resolution infrared sounder/1,Operational,NA
C08/605,605,NOAA,Radiometer,HIRS/2,High-resolution infrared sounder/2,Operational,NA
C08/606,606,NOAA,Radiometer,HIRS/3,High-resolution infrared sounder/3,Operational,NA
C08/607,607,NOAA,Radiometer,HIRS/4,High-resolution infrared sounder/4,Operational,NA
C08/615,615,NOAA,Radiometer,IMAGER,Imager,Operational,NA
C08/616,616,NOAA,Imaging multi-spectral radiometer (vis/IR),VIIRS,Visible/infrared imager radiometer suite,Operational,NA
C08/617,617,NOAA,Imaging multi-spectral radiometer,ABI,Advanced baseline imager,Operational,NA
C08/618,618,NOAA,High-resolution optical imager,GLM,Geostationary lightning mapper,Operational,NA
C08/620,620,NOAA,Atmospheric temperature and humidity sounder,CrIS/NP,Cross-track infrared sounder/NPOESS,Operational,NA
C08/621,621,NOAA,Atmospheric temperature and humidity sounder,ATMS,Advanced technology microwave sounder,Operational,NA
C08/622,622,NOAA,Radiometer,MSS,Multispectral scanning system,Operational,NA
C08/623,623,NOAA,Radiometer,MSU,Microwave sounding unit,Operational,NA
C08/624,624,NOAA,Radiometer,SBUV/2,Solar backscatter ultraviolet instrument/2,Operational,NA
C08/625,625,NOAA,Radiometer,SBUV/3,Solar backscatter ultraviolet instrument/3,Operational,NA
C08/626,626,NOAA,Radiometer,SOUNDER,SOUNDER,Operational,NA
C08/627,627,NOAA,Radiometer,SSU,Stratospheric sounding unit,Operational,NA
C08/628,628,NOAA,Radiometer,TM,Thematic mapper,Operational,NA
C08/629,629,NOAA,Radiometer,TOVS (HIRS/2 + MSU + SSU),TIROS operational vertical sounder,Operational,NA
C08/630,630,NOAA,Radiometer,VAS,VISSR atmospheric sounder,Operational,NA
C08/631,631,NOAA,Radiometer,SSZ,,Operational,NA
C08/645,645,NOAA,Spectrometer,SEM,Space environment monitor,Operational,NA
C08/650,650,NRSCC,Radiometer,MVIRSR (10 channel),Multispectral visible and infrared scan radiometer,Operational,NA
C08/651,651,NRSCC,Radiometer,MVIRSR (3 channel),Multispectral visible and infrared scan radiometer,Operational,NA
C08/652,652,NRSCC,Radiometer,MVIRSR (5 channel),Multispectral visible and infrared scan radiometer,Operational,NA
C08/670,670,NSAU,Radar,RLSBO,Side looking microwave radar,Operational,NA
C08/680,680,NSAU,High-resolution optical imager,MSU-EU,Multispectral radiometer with high-resolution,Operational,NA
