ID,CodeFigure,Meaning_en,ChemicalFormula,Status,translation_source
C14/30084,30084,Niobium 95 metastable,Nb-95m,Operational,NA
C14/30085,30085,Niobium 97,Nb-97,Operational,NA
C14/30086,30086,Niobium 97 metastable,Nb-97m,Operational,NA
C14/30087,30087,Molybdenum 93,Mo-93,Operational,NA
C14/30088,30088,Molybdenum 99,Mo-99,Operational,NA
C14/30089,30089,Technetium 95 metastable,Tc-95m,Operational,NA
C14/30090,30090,Technetium 96,Tc-96,Operational,NA
C14/30091,30091,Technetium 99,Tc-99,Operational,NA
C14/30092,30092,Technetium 99 metastable,Tc-99m,Operational,NA
C14/30093,30093,Rhodium 99,Rh-99,Operational,NA
C14/30094,30094,Rhodium 101,Rh-101,Operational,NA
C14/30095,30095,Rhodium 102 metastable,Rh-102m,Operational,NA
C14/30096,30096,Rhodium 103 metastable,Rh-103m,Operational,NA
C14/30097,30097,Rhodium 105,Rh-105,Operational,NA
C14/30098,30098,Rhodium 106,Rh-106,Operational,NA
C14/30099,30099,Palladium 100,Pd-100,Operational,NA
C14/30100,30100,Palladium 103,Pd-103,Operational,NA
C14/30101,30101,Palladium 107,Pd-107,Operational,NA
C14/30102,30102,Ruthenium 103,Ru-103,Operational,NA
C14/30103,30103,Ruthenium 105,Ru-105,Operational,NA
C14/30104,30104,Ruthenium 106,Ru-106,Operational,NA
C14/30105,30105,Silver 108 metastable,Ag-108m,Operational,NA
C14/30106,30106,Silver 110 metastable,Ag-110m,Operational,NA
C14/30107,30107,Cadmium 109,Cd-109,Operational,NA
C14/30108,30108,Cadmium 113 metastable,Cd-113m,Operational,NA
C14/30109,30109,Cadmium 115 metastable,Cd-115m,Operational,NA
C14/30110,30110,Indium 114 metastable,In-114m,Operational,NA
C14/30111,30111,Tin 113,Sn-113,Operational,NA
C14/30112,30112,Tin 119 metastable,Sn-119m,Operational,NA
C14/30113,30113,Tin 121 metastable,Sn-121m,Operational,NA
C14/30114,30114,Tin 122,Sn-122,Operational,NA
C14/30115,30115,Tin 123,Sn-123,Operational,NA
C14/30116,30116,Tin 126,Sn-126,Operational,NA
C14/30117,30117,Antimony 124,Sb-124,Operational,NA
C14/30118,30118,Antimony 125,Sb-125,Operational,NA
C14/30119,30119,Antimony 126,Sb-126,Operational,NA
C14/30120,30120,Antimony 127,Sb-127,Operational,NA
C14/30121,30121,Antimony 129,Sb-129,Operational,NA
C14/30122,30122,Tellurium 123 metastable,Te-123m,Operational,NA
C14/30123,30123,Tellurium 125 metastable,Te-125m,Operational,NA
C14/30124,30124,Tellurium 127,Te-127,Operational,NA
C14/30125,30125,Tellurium 127 metastable,Te-127m,Operational,NA
C14/30126,30126,Tellurium 129,Te-129,Operational,NA
C14/30127,30127,Tellurium 129 metastable,Te-129m,Operational,NA
C14/30128,30128,Tellurium 131 metastable,Te-131m,Operational,NA
C14/30129,30129,Tellurium 132,Te-132,Operational,NA
C14/30130,30130,Iodine 123,I-123,Operational,NA
C14/30131,30131,Iodine 124,I-124,Operational,NA
C14/30132,30132,Iodine 125,I-125,Operational,NA
C14/30133,30133,Iodine 126,I-126,Operational,NA
C14/30134,30134,Iodine 129,I-129,Operational,NA
C14/30135,30135,Iodine 129 elementary gaseous,I-129g,Operational,NA
C14/30136,30136,Iodine 129 organic bounded,I-129o,Operational,NA
C14/30137,30137,Iodine 131,I-131,Operational,NA
C14/30138,30138,Iodine 131 elementary gaseous,I-131g,Operational,NA
C14/30139,30139,Iodine 131 organic bounded,I-131o,Operational,NA
C14/30140,30140,Iodine 131 gaseous elementary and organic bounded,I-131go,Operational,NA
C14/30141,30141,Iodine 131 aerosol,I-131a,Operational,NA
C14/30142,30142,Iodine 132,I-132,Operational,NA
C14/30143,30143,Iodine 132 elementary gaseous,I-132g,Operational,NA
C14/30144,30144,Iodine 132 organic bounded,I-132o,Operational,NA
C14/30145,30145,Iodine 132 gaseous elementary and organic bounded,I-132go,Operational,NA
C14/30146,30146,Iodine 132 aerosol,I-132a,Operational,NA
C14/30147,30147,Iodine 133,I-133,Operational,NA
C14/30148,30148,Iodine 133 elementary gaseous,I-133g,Operational,NA
C14/30149,30149,Iodine 133 organic bounded,I-133o,Operational,NA
C14/30150,30150,Iodine 133 gaseous elementary and organic bounded,I-133go,Operational,NA
C14/30151,30151,Iodine 133 aerosol,I-133a,Operational,NA
C14/30152,30152,Iodine 134,I-134,Operational,NA
C14/30153,30153,Iodine 134 elementary gaseous,I-134g,Operational,NA
C14/30154,30154,Iodine 134 organic bounded,I-134o,Operational,NA
C14/30155,30155,Iodine 135,I-135,Operational,NA
C14/30156,30156,Iodine 135 elementary gaseous,I-135g,Operational,NA
C14/30157,30157,Iodine 135 organic bounded,I-135o,Operational,NA
C14/30158,30158,Iodine 135 gaseous elementary and organic bounded,I-135go,Operational,NA
C14/30159,30159,Iodine 135 aerosol,I-135a,Operational,NA
C14/30160,30160,Xenon 131 metastable,Xe-131m,Operational,NA
C14/30161,30161,Xenon 133,Xe-133,Operational,NA
C14/30162,30162,Xenon 133 metastable,Xe-133m,Operational,NA
C14/30163,30163,Xenon 135,Xe-135,Operational,NA
C14/30164,30164,Xenon 135 metastable,Xe-135m,Operational,NA
C14/30165,30165,Xenon 137,Xe-137,Operational,NA
C14/30166,30166,Xenon 138,Xe-138,Operational,NA
C14/30167,30167,Xenon sum of all Xenon isotopes,Xe-sum,Operational,NA
C14/30168,30168,Caesium 131,Cs-131,Operational,NA
C14/30169,30169,Caesium 134,Cs-134,Operational,NA
C14/30170,30170,Caesium 135,Cs-135,Operational,NA
C14/30171,30171,Caesium 136,Cs-136,Operational,NA
C14/30172,30172,Caesium 137,Cs-137,Operational,NA
C14/30173,30173,Barium 133,Ba-133,Operational,NA
C14/30174,30174,Barium 137 metastable,Ba-137m,Operational,NA
C14/30175,30175,Barium 140,Ba-140,Operational,NA
