ID,CodeFigureForF1F2,CodeFigureForF3F3F3,Octet5GRIB1_Octet6BUFR3,OriginatingGeneratingCentres_en,Status,translation_source
C01/133,Not applicable,133,133,Turkmenistan (NMC),Operational,NA
C01/134,Not applicable,134,134,United Arab Emirates (NMC),Operational,NA
C01/135,Not applicable,135,135,Uzbekistan (NMC),Operational,NA
C01/136,Not applicable,136,136,Viet Nam (NMC),Operational,NA
C01/137-139,Not applicable,137-139,137-139,Reserved for other centres,Operational,NA
C01/140,Not applicable,140,140,Bolivia (Plurinational State of) (NMC),Operational,NA
C01/141,Not applicable,141,141,Guyana (NMC),Operational,NA
C01/142,Not applicable,142,142,Paraguay (NMC),Operational,NA
C01/143,Not applicable,143,143,Suriname (NMC),Operational,NA
C01/144,Not applicable,144,144,Uruguay (NMC),Operational,NA
C01/145,Not applicable,145,145,French Guiana,Operational,NA
C01/146,Not applicable,146,146,Brazilian Navy Hydrographic Centre,Operational,NA
C01/147,Not applicable,147,147,National Commission on Space Activities (CONAE) - Argentina,Operational,NA
C01/148,Not applicable,148,148,Brazilian Department of Airspace Control - DECEA,Operational,NA
C01/149,Not applicable,149,149,Reserved for other centres,Operational,NA
C01/150,Not applicable,150,150,Antigua and Barbuda (NMC),Operational,NA
C01/151,Not applicable,151,151,Bahamas (NMC),Operational,NA
C01/152,Not applicable,152,152,Barbados (NMC),Operational,NA
C01/153,Not applicable,153,153,Belize (NMC),Operational,NA
C01/154,Not applicable,154,154,British Caribbean Territories Centre,Operational,NA
C01/155,Not applicable,155,155,San Jose,Operational,NA
C01/156,Not applicable,156,156,Cuba (NMC),Operational,NA
C01/157,Not applicable,157,157,Dominica (NMC),Operational,NA
C01/158,Not applicable,158,158,Dominican Republic (NMC),Operational,NA
C01/159,Not applicable,159,159,El Salvador (NMC),Operational,NA
C01/160,Not applicable,160,160,US NOAA/NESDIS,Operational,NA
C01/161,Not applicable,161,161,US NOAA Office of Oceanic and Atmospheric Research,Operational,NA
C01/162,Not applicable,162,162,Guatemala (NMC),Operational,NA
C01/163,Not applicable,163,163,Haiti (NMC),Operational,NA
C01/164,Not applicable,164,164,Honduras (NMC),Operational,NA
C01/165,Not applicable,165,165,Jamaica (NMC),Operational,NA
C01/166,Not applicable,166,166,Mexico City,Operational,NA
C01/167,Not applicable,167,167,Curacao and Sint Maarten (NMC),Operational,NA
C01/168,Not applicable,168,168,Nicaragua (NMC),Operational,NA
C01/169,Not applicable,169,169,Panama (NMC),Operational,NA
C01/170,Not applicable,170,170,Saint Lucia (NMC),Operational,NA
C01/171,Not applicable,171,171,Trinidad and Tobago (NMC),Operational,NA
C01/172,Not applicable,172,172,French Departments in RA IV,Operational,NA
C01/173,Not applicable,173,173,US National Aeronautics and Space Administration (NASA),Operational,NA
C01/174,Not applicable,174,174,Integrated Science Data Management/Marine Environmental Data Service (ISDM/MEDS) - Canada,Operational,NA
C01/175,Not applicable,175,175,University Corporation for Atmospheric Research (UCAR) - United States,Operational,NA
C01/176,Not applicable,176,176,Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States,Operational,NA
C01/177,Not applicable,177,177,NOAA National Ocean Service - United States,Operational,NA
C01/178,Not applicable,178,178,"Spire Global, Inc.",Operational,NA
C01/179,Not applicable,179,179,"GeoOptics, Inc.",Operational,NA
C01/180,Not applicable,180,180,PlanetiQ,Operational,NA
C01/181,Not applicable,181,181,Atmospheric and Environmental Research (AER),Operational,NA
C01/182,Not applicable,182,182,tomorrow.io,Operational,NA
C01/183,Not applicable,183,183,Scripps Institute of Oceanography (UC San Diego - United States),Operational,NA
C01/184-189,Not applicable,184-189,184-189,Reserved for other centres,Operational,NA
C01/190,Not applicable,190,190,Cook Islands (NMC),Operational,NA
C01/191,Not applicable,191,191,French Polynesia (NMC),Operational,NA
C01/192,Not applicable,192,192,Tonga (NMC),Operational,NA
C01/193,Not applicable,193,193,Vanuatu (NMC),Operational,NA
C01/194,Not applicable,194,194,Brunei Darussalam (NMC),Operational,NA
C01/195,Not applicable,195,195,Indonesia (NMC),Operational,NA
C01/196,Not applicable,196,196,Kiribati (NMC),Operational,NA
C01/197,Not applicable,197,197,Federated States of Micronesia (NMC),Operational,NA
C01/198,Not applicable,198,198,New Caledonia (NMC),Operational,NA
C01/199,Not applicable,199,199,Niue,Operational,NA
C01/200,Not applicable,200,200,Papua New Guinea (NMC),Operational,NA
C01/201,Not applicable,201,201,Philippines (NMC),Operational,NA
C01/202,Not applicable,202,202,Samoa (NMC),Operational,NA
C01/203,Not applicable,203,203,Solomon Islands (NMC),Operational,NA
C01/204,Not applicable,204,204,National Institute of Water and Atmospheric Research (NIWA - New Zealand),Operational,NA
C01/205-209,Not applicable,205-209,205-209,Reserved,Operational,NA
C01/210,Not applicable,210,210,Frascati (ESA/ESRIN),Operational,NA
C01/211,Not applicable,211,211,Lannion,Operational,NA
C01/212,Not applicable,212,212,Lisbon,Operational,NA
C01/213,Not applicable,213,213,Reykjavik,Operational,NA
C01/214,Not applicable,214,214,Madrid,Operational,NA
C01/215,Not applicable,215,215,Zuerich,Operational,NA
C01/216,Not applicable,216,216,Service ARGOS - Toulouse,Operational,NA
C01/217,Not applicable,217,217,Bratislava,Operational,NA
C01/218,Not applicable,218,218,Budapest,Operational,NA
C01/219,Not applicable,219,219,Ljubljana,Operational,NA
C01/220,Not applicable,220,220,Warsaw,Operational,NA
C01/221,Not applicable,221,221,Zagreb,Operational,NA
C01/222,Not applicable,222,222,Albania (NMC),Operational,NA
C01/223,Not applicable,223,223,Armenia (NMC),Operational,NA
C01/224,Not applicable,224,224,Austria (NMC),Operational,NA
C01/225,Not applicable,225,225,Azerbaijan (NMC),Operational,NA
C01/226,Not applicable,226,226,Belarus (NMC),Operational,NA
C01/227,Not applicable,227,227,Belgium (NMC),Operational,NA
C01/228,Not applicable,228,228,Bosnia and Herzegovina (NMC),Operational,NA
C01/229,Not applicable,229,229,Bulgaria (NMC),Operational,NA
C01/230,Not applicable,230,230,Cyprus (NMC),Operational,NA
C01/231,Not applicable,231,231,Estonia (NMC),Operational,NA
C01/232,Not applicable,232,232,Georgia (NMC),Operational,NA
C01/233,Not applicable,233,233,Dublin,Operational,NA
C01/234,Not applicable,234,234,Israel (NMC),Operational,NA
C01/235,Not applicable,235,235,Jordan (NMC),Operational,NA
C01/236,Not applicable,236,236,Latvia (NMC),Operational,NA
C01/237,Not applicable,237,237,Lebanon (NMC),Operational,NA
C01/238,Not applicable,238,238,Lithuania (NMC),Operational,NA
C01/239,Not applicable,239,239,Luxembourg,Operational,NA
C01/240,Not applicable,240,240,Malta (NMC),Operational,NA
C01/241,Not applicable,241,241,Monaco,Operational,NA
C01/242,Not applicable,242,242,Romania (NMC),Operational,NA
C01/243,Not applicable,243,243,Syrian Arab Republic (NMC),Operational,NA
C01/244,Not applicable,244,244,The former Yugoslav Republic of Macedonia (NMC),Operational,NA
C01/245,Not applicable,245,245,Ukraine (NMC),Operational,NA
C01/246,Not applicable,246,246,Republic of Moldova (NMC),Operational,NA
C01/247,Not applicable,247,247,Operational Programme for the Exchange of weather RAdar information (OPERA) - EUMETNET,Operational,NA
C01/248,Not applicable,248,248,Montenegro (NMC),Operational,NA
C01/249,Not applicable,249,249,Barcelona Dust Forecast Center,Operational,NA
C01/250,Not applicable,250,250,COnsortium for Small scale MOdelling  (COSMO),Operational,NA
C01/251,Not applicable,251,251,Meteorological Cooperation on Operational NWP (MetCoOp),Operational,NA
C01/252,Not applicable,252,252,Max Planck Institute for Meteorology (MPI-M),Operational,NA
C01/253,Not applicable,253,253,Alfred Wegener Institute (AWI),Operational,NA
C01/254,Not applicable,254,254,EUMETSAT Operation Centre,Operational,NA
C01/255,Not applicable,255,255,Missing value,Operational,NA
C01/256-999,Not applicable,256-999,Not applicable,Not used,Operational,NA
