ID,CodeFigure,Meaning_es,ChemicalFormula,Status,translation_source
C14/30300,30300,,Ag-112,Operational,NA
C14/30301,30301,,Ag-115,Operational,NA
C14/30302,30302,,Ba-139,Operational,NA
C14/30303,30303,,Ba-141,Operational,NA
C14/30304,30304,,Ba-142,Operational,NA
C14/30305,30305,,Br-84,Operational,NA
C14/30306,30306,,Cd-115,Operational,NA
C14/30307,30307,,Cd-117,Operational,NA
C14/30308,30308,,Cd-117m,Operational,NA
C14/30309,30309,,Ce-145,Operational,NA
C14/30310,30310,,Ce-146,Operational,NA
C14/30311,30311,,Co-58m,Operational,NA
C14/30312,30312,,Cs-138,Operational,NA
C14/30313,30313,,Cs-139,Operational,NA
C14/30314,30314,,I-130a,Operational,NA
C14/30315,30315,,I-130e,Operational,NA
C14/30316,30316,,I-130o,Operational,NA
C14/30317,30317,,I-132m,Operational,NA
C14/30318,30318,,I-134m,Operational,NA
C14/30319,30319,,In-115m,Operational,NA
C14/30320,30320,,In-117m,Operational,NA
C14/30321,30321,,Kr-83m,Operational,NA
C14/30322,30322,,La-142,Operational,NA
C14/30323,30323,,La-143,Operational,NA
C14/30324,30324,,Mn-56,Operational,NA
C14/30325,30325,,Mo-101,Operational,NA
C14/30326,30326,,Mo-102,Operational,NA
C14/30327,30327,,Nd-149,Operational,NA
C14/30328,30328,,Nd-151,Operational,NA
C14/30329,30329,,Pd-109,Operational,NA
C14/30330,30330,,Pd-112,Operational,NA
C14/30331,30331,,Pr-145,Operational,NA
C14/30332,30332,,Pr-146,Operational,NA
C14/30333,30333,,Pr-147,Operational,NA
C14/30334,30334,,Rb-89,Operational,NA
C14/30335,30335,,Rb-90,Operational,NA
C14/30336,30336,,Rb-90m,Operational,NA
C14/30337,30337,,Rh-105m,Operational,NA
C14/30338,30338,,Rh-107,Operational,NA
C14/30339,30339,,Sb-128,Operational,NA
C14/30340,30340,,Sb-128m,Operational,NA
C14/30341,30341,,Sb-129m,Operational,NA
C14/30342,30342,,Sb-130,Operational,NA
C14/30343,30343,,Sb-130m,Operational,NA
C14/30344,30344,,Sb-131,Operational,NA
C14/30345,30345,,Sb-132,Operational,NA
C14/30346,30346,,Sb-132m,Operational,NA
C14/30347,30347,,Sb-133,Operational,NA
C14/30348,30348,,Se-83,Operational,NA
C14/30349,30349,,Sn-127,Operational,NA
C14/30350,30350,,Sn-127m,Operational,NA
C14/30351,30351,,Sn-128,Operational,NA
C14/30352,30352,,Sn-129m,Operational,NA
C14/30353,30353,,Sn-130,Operational,NA
C14/30354,30354,,Sr-93,Operational,NA
C14/30355,30355,,Tc-101,Operational,NA
C14/30356,30356,,Tc-102,Operational,NA
C14/30357,30357,,Tc-104,Operational,NA
C14/30358,30358,,Tc-105,Operational,NA
C14/30359,30359,,Te-133,Operational,NA
C14/30360,30360,,Te-133m,Operational,NA
C14/30361,30361,,Te-134,Operational,NA
C14/30362,30362,,Y-93m,Operational,NA
C14/30363,30363,,Y-94,Operational,NA
C14/30364,30364,,Y-95,Operational,NA
C14/30365,30365,,Zr-96,Operational,NA
C14/30366,30366,,In-117,Extension,NA
C14/30367,30367,,Pb-203,Extension,NA
C14/30368,30368,,Na-24,Extension,NA
C14/30369,30369,,Ru-107,Extension,NA
C14/30370,30370,,U-239,Extension,NA
C14/30371-39999,30371-39999,,,Operational,NA
C14/40000,40000,Oxígeno singlete sigma (dioxígeno (singlete sigma)),O2(1&Sigma;+g),Operational,PDF
C14/40001,40001,Oxígeno singlete delta (dioxígeno (singlete delta)),O2(1&Delta;g),Operational,PDF
C14/40002,40002,Átomo de oxígeno en estado excitado singlete,O(1D),Operational,PDF
C14/40003,40003,Átomo de oxígeno en estado fundamental triplete,O(3P),Operational,PDF
C14/40004-59999,40004-59999,,,Operational,NA
C14/60000,60000,Radical HO (OH+HO ),HOx*,Operational,PDF
C14/60001,60001,Radicales peroxilos orgánicos e inorgánicos totales (HO • + RO •) 2 2,ROO*,Operational,PDF
C14/60002,60002,Ozono pasivo,,Operational,PDF
C14/60003,60003,NO expresado en términos de nitrógeno,NOx,Operational,PDF
C14/60004,60004,Todos los óxidos de nitrógeno (NO ) expresados en términos Todos los,NOy,Operational,PDF
C14/60005,60005,Cloro inorgánico total,Clx,Operational,PDF
C14/60006,60006,Bromo inorgánico total,Brx,Operational,PDF
C14/60007,60007,"Cloro inorgánico total, excepto HCl, ClONO : ClO 2 x",,Operational,PDF
C14/60008,60008,"Bromo inorgánico total, excepto BrH, BrONO : BrO 2 x",,Operational,PDF
C14/60009,60009,Alcanos agregados,,Operational,PDF
C14/60010,60010,Alquenos agregados,,Operational,PDF
C14/60011,60011,Compuestos aromáticos agregados,,Operational,PDF
C14/60012,60012,Terpenos agregados,,Operational,PDF
C14/60013,60013,"Compuestos orgánicos volátiles distintos del metano, expresados en términos de carbono",NMVOC,Operational,PDF
C14/60014,60014,"Compuestos orgánicos volátiles antropógenos distintos del metano, expresados en términos de carbono",aNMVOC,Operational,PDF
C14/60015,60015,"Compuestos orgánicos volátiles biogénicos distintos del metano, expresados en términos de carbono",bNMVOC,Operational,PDF
C14/60016,60016,Hidrocarburos oxigenados agregados,OVOC,Operational,PDF
C14/60017,60017,NO expresado en términos de dióxido de nitrógeno (NO ),NOx,Operational,PDF
C14/60018,60018,Aldehídos orgánicos,RCHO,Operational,PDF
C14/60019,60019,Peróxidos orgánicos,ROOH,Operational,PDF
C14/60020,60020,Nitratos orgánicos,RNO3,Operational,PDF
C14/60021,60021,Éteres,ROR',Operational,PDF
C14/60022,60022,Aminas,NRR'R'',Operational,PDF
C14/60023,60023,Cetonas,RC(O)R',Operational,PDF
C14/60024,60024,Dicarbonilos insaturados,RC(O)CH2C(O)R',Operational,PDF
C14/60025,60025,Hidroxidicarbonilos insaturados,RC(O)CHOHC(O)R',Operational,PDF
C14/60026,60026,Hidroxicetonas,RC(OH)C(O)R',Operational,PDF
C14/60027,60027,Óxidos,Ox,Operational,PDF
C14/60028,60028,Nitratos de peróxido-acil,RC(O)OONO2,Operational,PDF
C14/60029,60029,Radical peróxido aromático (radicales arildioxidanilo),ArOO*,Operational,PDF
C14/60030,60030,Compuesto orgánico secundario de origen biogénico,,Operational,PDF
C14/60031,60031,Compuesto orgánico secundario de origen antropógeno,,Operational,PDF
C14/60032,60032,Todos los productos hidroxi-peróxidos de la reacción de aductos hidroxiisopreno con O 2,ISOPOOH,Operational,PDF
C14/60033,60033,,aVOC,Operational,NA
C14/60034,60034,,bbVOC,Operational,NA
C14/60035,60035,,,Operational,NA
C14/60036-61999,60036-61999,,,Operational,NA
C14/62000,62000,Aerosol total,,Operational,PDF
C14/62001,62001,Polvo seco,,Operational,PDF
C14/62002,62002,Agua ambiental,,Operational,PDF
C14/62003,62003,Amonio seco,,Operational,PDF
C14/62004,62004,Nitrato seco,,Operational,PDF
C14/62005,62005,Trihidrato del ácido nítrico,,Operational,PDF
C14/62006,62006,Sulfato seco,,Operational,PDF
C14/62007,62007,Mercurio seco,,Operational,PDF
C14/62008,62008,Sal marina seca,,Operational,PDF
C14/62009,62009,Carbono negro seco,,Operational,PDF
C14/62010,62010,Materia orgánica en partículas seca,,Operational,PDF
C14/62011,62011,Materia orgánica en partículas primaria seca,,Operational,PDF
C14/62012,62012,Materia orgánica en partículas secundaria seca,,Operational,PDF
C14/62013,62013,Carbono negro hidrófilo seco,,Operational,PDF
C14/62014,62014,Carbono negro hidrófobo seco,,Operational,PDF
C14/62015,62015,Materia orgánica en partículas hidrófila seca,,Operational,PDF
C14/62016,62016,Materia orgánica en partículas hidrófoba seca,,Operational,PDF
C14/62017,62017,Nitrato hidrófilo seco,,Operational,PDF
C14/62018,62018,Nitrato hidrófobo seco,,Operational,PDF
C14/62019,62019,Reservada,,Operational,PDF
C14/62020,62020,Humo - alta absorción,,Operational,PDF
C14/62021,62021,Humo - baja absorción,,Operational,PDF
C14/62022,62022,Aerosoles - alta absorción,,Operational,PDF
C14/62023,62023,Aerosoles - baja absorción,,Operational,PDF
C14/62024,62024,Reservada,,Operational,PDF
C14/62025,62025,Ceniza volcánica,,Operational,PDF
C14/62026,62026,Materia particulada (PM),,Operational,PDF
C14/62027,62027,Reservada,,Operational,PDF
C14/62028,62028,Aerosol hidrófilo total,,Operational,PDF
C14/62029,62029,Aerosol hidrófobo total,,Operational,PDF
C14/62030,62030,Partículas primarias de la materia inorgánica seca,,Operational,PDF
C14/62031,62031,Partículas secundarias de la materia inorgánica seca,,Operational,PDF
C14/62032,62032,Aerosol orgánico secundario de origen biogénico,,Operational,PDF
C14/62033,62033,Aerosol orgánico secundario de origen antropógeno,,Operational,PDF
C14/62034,62034,,H2Orain,Operational,NA
C14/62035,62035,,H2Ocloud,Operational,NA
C14/62036,62036,,,Operational,NA
C14/62037,62037,,,Operational,NA
C14/62038-62099,62038-62099,,,Operational,NA
C14/62100,62100,Polen de Alnus (alisos),,Operational,PDF
C14/62101,62101,Polen de Betula (abedul),,Operational,PDF
C14/62102,62102,Polen de Castanea (castaño),,Operational,PDF
C14/62103,62103,Polen de Carpinus (carpe),,Operational,PDF
C14/62104,62104,Polen de Corylus (avellano),,Operational,PDF
C14/62105,62105,Polen de Fagus (haya),,Operational,PDF
C14/62106,62106,Polen de Fraxinus (fresno),,Operational,PDF
C14/62107,62107,Polen de Pinus (pino),,Operational,PDF
C14/62108,62108,Polen de Platanus (plátano),,Operational,PDF
C14/62109,62109,"Polen de Populus (álamo, chopo)",,Operational,PDF
C14/62110,62110,Polen de Quercus (roble),,Operational,PDF
C14/62111,62111,Polen de Salix (sauce),,Operational,PDF
C14/62112,62112,Polen de Taxus (tejo),,Operational,PDF
C14/62113,62113,Polen de Tilia (tilo),,Operational,PDF
C14/62114,62114,Polen de Ulmus (olmo),,Operational,PDF
C14/62115,62115,Polen de Olea (olivo),,Operational,PDF
C14/62116-62199,62116-62199,,,Operational,NA
C14/62200,62200,Polen de Ambrosia (ambrosía),,Operational,PDF
C14/62201,62201,"Polen de Artemisia (artemisa, ajenjo)",,Operational,PDF
C14/62202,62202,"Polen de Brassica (colza, brócoli, col de Bruselas, repollo, coliflor, berza, col rizada, colirábano, mostaza, colinabo)",,Operational,PDF
C14/62203,62203,Polen de Plantago (llantén),,Operational,PDF
C14/62204,62204,"Polen de Rumex (acedera, vinagrera)",,Operational,PDF
C14/62205,62205,Polen de Urtica (ortiga),,Operational,PDF
C14/62206-62299,62206-62299,,,Operational,NA
C14/62300,62300,Polen de Poaceae (gramíneas),,Operational,PDF
C14/62301-62999,62301-62999,,,Operational,NA
C14/63000-65534,63000-65534,,,Operational,NA
C14/65535,65535,Valor faltante,,Operational,PDF
