ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_es,CodeFigure_SubCentres,Name_SubCentres_es,Status,translation_source
C12/2/252,2,Melbourne,252,Honolulú,Operational,PDF
C12/69/204,69,Wellington (CMRE),204,"Instituto Nacional de Investigaciones Hidrológicas y Atmosféricas (NIWA, Nueva Zelandia)",Operational,PDF
C12/69/205,69,Wellington (CMRE),205,Niue,Operational,PDF
C12/69/206,69,Wellington (CMRE),206,Rarotonga (Islas Cook),Operational,PDF
C12/69/207,69,Wellington (CMRE),207,Apia (Samoa),Operational,PDF
C12/69/208,69,Wellington (CMRE),208,Tonga,Operational,PDF
C12/69/209,69,Wellington (CMRE),209,Tuvalu,Operational,PDF
C12/69/210,69,Wellington (CMRE),210,Kiribati,Operational,PDF
C12/69/211,69,Wellington (CMRE),211,Tokelau,Operational,PDF
C12/69/243,69,Wellington (CMRE),243,Kelburn,Operational,PDF
C12/72/249,72,Singapur,249,Singapur,Operational,PDF
C12/191/1,191,Polinesia Francesa (CMN),1,Estación RARS de Tahití (Polinesia Francesa),Operational,PDF
C12/204/101,204,Instituto Nacional de Investigaciones Hidrológicas y Atmosféricas (NIWA - Nueva Zelandia),101,Maupuia,Operational,PDF
C12/204/102,204,Instituto Nacional de Investigaciones Hidrológicas y Atmosféricas (NIWA - Nueva Zelandia),102,Lauder,Operational,PDF
C12//7,,,,,Operational,NA
C12/74/1,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",1,Centro de Control de Área Oceánica de,Operational,PDF
C12/74/2,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",2,Fucino,Operational,PDF
C12/74/3,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",3,Gatineau,Operational,PDF
C12/74/4,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",4,Maspalomas,Operational,PDF
C12/74/5,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",5,Instalaciones centrales EAA ERS,Operational,PDF
C12/74/6,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",6,Prince Albert,Operational,PDF
C12/74/7,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",7,West Freugh,Operational,PDF
C12/74/13,74,"Oficina Meteorológica de Reino Unido, Exeter (CMRE)",13,Tromsø,Operational,PDF
