ID,CodeFigureForIXIIXIX,CodeFigureForBUFR,InstrumentMakeAndType_es,EquationCoefficients_a,EquationCoefficients_b,Status,translation_source
C03/839,839,839,"PROVOR-II, sensor de conductividad SBE",,,Operational,PDF
C03/840,840,840,"PROVOR, sin sensor de conductividad",Not applicable,Not applicable,Operational,PDF
C03/841,841,841,"PROVOR, sensor de conductividad Sea-Bird",Not applicable,Not applicable,Operational,PDF
C03/842,842,842,"PROVOR, sensor de conductividad FSI",Not applicable,Not applicable,Operational,PDF
C03/843,843,843,"Sistema para determinar el perfil del océano polar, (POPS), PROVOR, SBE CTD",,,Operational,PDF
C03/844,844,844,"Flotador perfilador ARVOR, sensor de conductividad Sea-Bird",,,Operational,PDF
C03/845,845,845,"Webb Research, sin sensor de conductividad",Not applicable,Not applicable,Operational,PDF
C03/846,846,846,"Webb Research, sensor de conductividad Sea-Bird",Not applicable,Not applicable,Operational,PDF
C03/847,847,847,"Webb Research, sensor de conductividad FSI",Not applicable,Not applicable,Operational,PDF
C03/848,848,848,"APEX-EM, sensor de conductividad SBE",,,Operational,PDF
C03/849,849,849,"APEX_D, sensor de conductividad SBE",,,Operational,PDF
C03/850,850,850,"SOLO, sin sensor de conductividad",Not applicable,Not applicable,Operational,PDF
C03/851,851,851,"SOLO, sensor de conductividad Seabird",Not applicable,Not applicable,Operational,PDF
C03/852,852,852,"SOLO, sensor de conductividad FSI",Not applicable,Not applicable,Operational,PDF
C03/853,853,853,"Flotador perfilador, SOLO (SCRIPPS), sensor de conductividad Seabird",,,Operational,PDF
C03/854,854,854,"S2A, sensor de conductividad SBE",,,Operational,PDF
C03/855,855,855,"Flotador perfilador NINJA, sin sensor de conductividad",Not applicable,Not applicable,Operational,PDF
C03/856,856,856,"Flotador perfilador NINJA, sensor de conductividad SBE",Not applicable,Not applicable,Operational,PDF
C03/857,857,857,"Flotador perfilador NINJA, sensor de conductividad FSI",Not applicable,Not applicable,Operational,PDF
C03/858,858,858,"Flotador perfilador NINJA, sensor de conductividad TSK",Not applicable,Not applicable,Operational,PDF
C03/859,859,859,"Flotador perfilador NEMO, sin sensor de conductividad",Not applicable,Not applicable,Operational,PDF
C03/860,860,860,"Flotador perfilador NEMO, sensor de conductividad SBE",Not applicable,Not applicable,Operational,PDF
C03/861,861,861,"Flotador perfilador NEMO, sensor de conductividad FSI",Not applicable,Not applicable,Operational,PDF
C03/862,862,862,"SOLO_D, sensor de conductividad SBE",,,Operational,PDF
C03/863,863,863,"NAVIS-A, sensor de conductividad SBE",,,Operational,PDF
C03/864,864,864,"NINJA_D, sensor de conductividad SBE",,,Operational,PDF
C03/865,865,865,"NOVA, sensor de conductividad SBE",,,Operational,PDF
C03/866,866,866,"ALAMO, sin sensor de conductividad",,,Operational,PDF
C03/867,867,867,"ALAMO, sensor de conductividad RBR",,,Operational,PDF
C03/868,868,868,"ALAMO, sensor de conductividad SBE",,,Operational,PDF
C03/869,869,869,Reservada,,,Operational,PDF
C03/870,870,870,HM2000,Not applicable,Not applicable,Operational,PDF
C03/871,871,871,COPEX,Not applicable,Not applicable,Operational,PDF
C03/872,872,872,S2X,Not applicable,Not applicable,Operational,PDF
C03/873,873,873,ALTO,Not applicable,Not applicable,Operational,PDF
C03/874,874,874,SOLO_D_MRV,Not applicable,Not applicable,Operational,PDF
C03/875,875,875,ALTO RBR,Not applicable,Not applicable,Operational,PDF
C03/876,876,876,ALTO SBE,Not applicable,Not applicable,Operational,PDF
C03/877,877,877,APEX RBR,Not applicable,Not applicable,Operational,PDF
C03/878,878,878,ARVOR RBR,Not applicable,Not applicable,Operational,PDF
C03/879,879,879,SOLO II RBR,Not applicable,Not applicable,Operational,PDF
C03/880,880,880,S2A RBR,Not applicable,Not applicable,Operational,PDF
C03/900,900,900,Sippican LMP-5 XBT,9.727,-0.0473,Operational,PDF
C03/901,901,901,Perfilador anclado al hielo SBE CTD,,,Operational,PDF
C03/902,902,902,Brooke Ocean Moving Vessel Profiler (MVP),,,Operational,PDF
C03/903,903,903,CTD Sea-Bird,,,Operational,PDF
C03/904,904,904,CTD AML Oceanographic,,,Operational,PDF
C03/905,905,905,CTD Falmouth Scientific,,,Operational,PDF
C03/906,906,906,CTD Ocean Sensors,,,Operational,PDF
C03/907,907,907,CTD Valeport,,,Operational,PDF
C03/908,908,908,Perfilador de buques en movimiento Ocean Science,,,Operational,PDF
C03/909,909,909,CTD IDRONAUT,,,Operational,PDF
C03/910,910,910,SBE38 Sea-Bird,,,Operational,PDF
