ID,Code,Agency_es,Type_es,InstrumentShortName_es,InstrumentLongName_es,Status,translation_source
C08/277,277,ISRO,Productor de imágenes ópticas de alta resolución,LISS-II,Autoexplorador de imagenización lineal - II,Operational,PDF
C08/278,278,ISRO,Productor de imágenes ópticas de alta resolución,LISS-III,Autoexplorador de imagenización lineal - III,Operational,PDF
C08/279,279,ISRO,Productor de imágenes ópticas de alta resolución,LISS-IV,Autoexplorador de imagenización lineal - IV,Operational,PDF
C08/284,284,ISRO,Productor de imágenes ópticas de alta resolución,PAN,Sensor pancromático,Operational,PDF
C08/285,285,ISRO,Radiómetro productor de imágenes multiespectrales (vis/IR) para el océano,MOS,Explorador optoelectrónico modular,Operational,PDF
C08/286,286,,,,,Operational,NA
C08/287,287,ASI,,ROSA,Sonda atmosférica por radio ocultación,Operational,PDF
C08/288,288,ISRO,Dispoersómetro,SCAT,Dispersómetro,Operational,PDF
C08/289,289,ISRO,Reproductor de imágenes óptico,IMG,Reproductor de imágenes,Operational,PDF
C08/290,290,JMA,Comunicaciones,MTSAT Comms,Paquete de comunicaciones para MTSAT,Operational,PDF
C08/291,291,JMA,Comunicaciones,Himawari Comms,Paquete de comunicaciones para Himawari,Operational,PDF
C08/294,294,JMA,Radiómetro multiespectral,JAMI,Reproductor japonés avanzado de imágenes,Operational,PDF
C08/295,295,JMA,Radiómetro multiespectral productor de imágenes,IMAGER/MTSAT-2,Reproductor de imágenes/MTSAT-2,Operational,PDF
C08/296,296,JMA,Radiómetro multiespectral,VISSR (GMS4),Radiómetro de exploración visible e infrarrojo,Operational,PDF
C08/297,297,JMA,Radiómetro multiespectral productor de imágenes,AHI,Reproductor avanzado de imágenes Himawari,Operational,PDF
C08/300,300,NASA,Lidar,GLAS,Sistema de altímetro por láser para ciencias de la Tierra,Operational,PDF
C08/301,301,,,,,Operational,NA
C08/302,302,NASA,Lidar,MBLA,Altímetro láser de haz múltiple,Operational,PDF
C08/303,303,NASA,Lidar,CALIOP,Lidar de aerosoles de nube con polarización ortogonal,Operational,PDF
C08/309,309,NASA,Radar de perfil de las nubes y lluvia,CPR (Cloudsat),Radar perfilador de nubes,Operational,PDF
C08/312,312,NASA,Radar,NSCAT,Dispersómetro NASA,Operational,PDF
C08/313,313,NASA,Radar,SeaWinds,Dispersómetro ADEOS II - NASA,Operational,PDF
C08/314,314,NASA,Radar,RapidScat,Dispersómetro RapidScat,Operational,PDF
C08/330,330,NASA,Radiómetro del balance,ACRIM,Monitor de irradiancia por radiómetro de,Operational,PDF
C08/334,334,,,,,Operational,NA
C08/336,336,NASA,Productor de imágenes ópticas de alta resolución,ALI,Reproductor de imágenes terrestre avanzado,Operational,PDF
C08/347,347,NASA,Productor de imágenes,ASTER,Radiómetro avanzado de emisión y reflexión,Operational,PDF
C08/348,348,NASA,Radiómetro del balance,CERES-2,Sistema de estudio del balance radiativo de,Operational,PDF
C08/351,351,NASA,Sonda para la temperatura y humedad atmosféricas,GPSDR,Receptor de demostración GPS,Operational,PDF
C08/353,353,NASA,Ozono total y perfil del ozono,HiRDLS,Sonda tangencial dinámica de alta resolución,Operational,PDF
C08/354,354,NASA,Ozono total y perfil del,HRDI,Reproductor de imágenes Doppler de alta,Operational,PDF
C08/356,356,NASA,Radiómetro,LIS,Sensor de imagenización de relámpagos,Operational,PDF
C08/358,358,NASA,"Campo magnético, límite de centelleo de imágenes aurorales",PEM,Monitor de partículas del medio ambiente,Operational,PDF
C08/359,359,,,,,Operational,NA
C08/360,360,NASA,Radiómetro del balance de radiación de la Tierra,SUSIM (UARS),Monitor de irradiancia ultravioleta solar,Operational,PDF
C08/363,363,NASA,Ozono total y perfil del,SBUV/1,Detector de retrodispersión solar,Operational,PDF
C08/365,365,NASA,Radiómetro productor,TMI,Reproductor de imágenes de microondas,Operational,PDF
C08/366,366,NASA,Radiómetro productor de imágenes multiespectrales (microondas pasivo),JMR,Radiómetro de microondas JASON-1,Operational,PDF
C08/367,367,NASA,Radiómetro multiespectral de imagenización,AMR,Radiómetro de microondas avanzado,Operational,PDF
C08/368,368,,,,,Operational,NA
C08/369,369,NASA,Ozono total y perfil del,LIMS,Aparato de sondeo tangencial infrarrojo de la,Operational,PDF
C08/370,370,NASA,Ozono total y perfil del,LRIR,Radiómetro de inversión de la radiancia del,Operational,PDF
C08/371,371,NASA,Ozono total y perfil del,EPIC,Cámara de imágenes policromáticas de la,Operational,PDF
C08/372,372,NASA,Radiómetro del balance de radiación de la Tierra,NISTAR,Radiómetro avanzado NIST,Operational,PDF
C08/373,373,NASA,"Campo magnético, límite de centelleo de imágenes aurorales",Plasma-Mag,,Operational,PDF
C08/374,374,NASA,Otro,XPS,Sistema fotómetro XUV,Operational,PDF
C08/375,375,NASA,Radiómetro productor de imágenes multiespectrales (vis/IR),VIRS,Explorador visible e infrarrojo,Operational,PDF
C08/376,376,CNES,Radiómetro de dirección/,POLDER II,Polarización y direccionalidad de la,Operational,PDF
C08/377,377,NASA,Radiómetro del balance de radiación de la Tierra,TIM,Monitor de irradiancia total,Operational,PDF
C08/379,379,NASA,Radiómetro productor de imágenes multiespectrales (vis/IR),WFC,Cámara de campo extenso,Operational,PDF
C08/382,382,NASA,Espectrorradiómetro,CLAES,Espectrómetro patrón grupal tangencial criogénico,Operational,PDF
C08/383,383,NASA,Espectrorradiómetro,HALOE,Experimento de ocultación halógeno,Operational,PDF
C08/384,384,NASA,Espectrorradiómetro,ISAMS,Sonda estratosférica y mesosférica mejorada,Operational,PDF
C08/385,385,NASA,Espectrorradiómetro,MISR,Espectrorradiómetro de imagenización multiangular,Operational,PDF
C08/386,386,NASA,Espectrorradiómetro,MLS,Sonda tangencial de microondas,Operational,PDF
C08/387,387,NASA,Espectrorradiómetro,MLS (EOS-Aura),Sonda tangencial de microondas (EOS-Aura),Operational,PDF
C08/389,389,NASA,Espectrorradiómetro,MODIS,Espectrorradiómetro de imagenización de resolución moderada,Operational,PDF
C08/393,393,NASA,Gravedad ozono,HAIRS,Sistema de telemetría intersatelital de gran precisión,Operational,PDF
C08/394,394,,,,,Operational,NA
C08/395,395,NASA,Radiómetro,Corrector atmosférico,Corrector atmosférico,Operational,PDF
C08/396,396,NASA,Radiómetro,Hyperion,Reproductor de imágenes hiperespectral,Operational,PDF
C08/397,397,,,,,Operational,NA
C08/398,398,,,,,Operational,NA
C08/399,399,NASA,Espectrorradiómetro,SAGE I,Experimento sobre gases y aerosoles estratosféricos-I,Operational,PDF
C08/400,400,NASA,Espectrorradiómetro,SAGE II,Experimento sobre gases y aerosoles estratosféricos-II,Operational,PDF
C08/401,401,NASA,Espectrorradiómetro,SAGE III,Experimento sobre gases y aerosoles estratosféricos-III,Operational,PDF
C08/402,402,NASA,Espectrorradiómetro,SAMS,Sonda estratosférica y mesosférica,Operational,PDF
C08/403,403,,,,,Operational,NA
C08/404,404,NASA,Espectrorradiómetro,IRIS,Espectrómetro interferómetro infrarrojo,Operational,PDF
C08/405,405,,,,,Operational,NA
C08/420,420,NASA,Espectrómetro,AIRS,Sonda infrarroja atmosférica,Operational,PDF
C08/421,421,,,,,Operational,NA
C08/422,422,,,,,Operational,NA
C08/426,426,NASA,Espectrómetro,SOLSTICE,Experimento de comparación de irradiancias solares y estelares,Operational,PDF
C08/430,430,NASA,Espectrómetro,TES,Espectrómetro de emisión troposférica,Operational,PDF
C08/431,431,NASA,Espectrómetro,TOMS,Espectrómetro de cartografía del ozono total,Operational,PDF
C08/432,432,NASA,Espectrómetro,OCO,Observatorio en órbita del carbono,Operational,PDF
C08/433,433,,,,,Operational,NA
C08/434,434,,,,,Operational,NA
C08/435,435,,,,,Operational,NA
C08/450,450,JAXA,Comunicaciones,Coms. ADEOS,Paquete de comunicaciones para ADEOS,Operational,PDF
C08/451,451,JAXA,Comunicaciones,DCS (JAXA),Sistema de recopilación de datos (JAXA),Operational,PDF
C08/453,453,NASDA,Comunicaciones,Coms. GMS,Paquete de comunicaciones en GMS,Operational,PDF
C08/454,454,NASDA,Comunicaciones,Coms. JERS-1,Paquete de comunicaciones para JERS-1,Operational,PDF
C08/460,460,NASDA,Lidar,RIS,Retrorreflector en el espacio,Operational,PDF
C08/461,461,NASDA,Radar,PR,Radar de precipitaciones,Operational,PDF
C08/462,462,NASDA,Radar productor de imágenes por microondas,SAR,Radar de abertura sintética,Operational,PDF
C08/470,470,JAXA,Radar productor de,PALSAR,Radar de abertura sintética en banda L de,Operational,PDF
C08/477,477,,,,,Operational,NA
C08/478,478,JAXA,Radiómetro multiespectral,AMSR2,Radiómetro de exploración en microondas,Operational,PDF
C08/479,479,JAXA,Radiómetro multiespectral,AMSR-E,Radiómetro de exploración en microondas,Operational,PDF
C08/480,480,,,,,Operational,NA
