ID,CodeFigure_DataCategories,Name_DataCategories_es,CodeFigure_InternationalDataSubcategories,Name_InternationalDataSubcategories_es,Status,translation_source
C13/12/9,12,Datos de observaciones en superficie,9,Índice de vegetación diferencial normalizado,Operational,PDF
C13/12/10,12,Datos de observaciones en superficie,10,Retrodispersión radárica normalizada,Operational,PDF
C13/12/11,12,Datos de observaciones en superficie,11,Emisividad superficial,Operational,PDF
C13/12/12,12,Datos de observaciones en superficie,12,Temperatura en la superficie del mar,Operational,PDF
C13/12/13,12,Datos de observaciones en superficie,13,Precipitación,Operational,PDF
C13/21/0,21,Radiancias (medidas por satélite),0,Presupuesto de radiación de la Tierra,Operational,PDF
C13/21/5,21,Radiancias (medidas por satélite),5,Sonda infrarroja transversal a la trayectoria,Operational,PDF
C13/21/6,21,Radiancias (medidas por satélite),6,Sonda de microondas de tecnología avanzada,Operational,PDF
C13/21/7,21,Radiancias (medidas por satélite),7,Serie de radiómetro imagenizador visible/ infrarrojo,Operational,PDF
C13/22/0,22,"Radar (satélite), pero no altímetro y",0,Radar de nubes y precipitación,Operational,PDF
C13/22/1,22,"Radar (satélite), pero no altímetro y",1,Radar de abertura sintética,Operational,PDF
C13/23/0,23,Lidar (satélite),0,"Misiones desde lidar (de viento, nubes/ aerosoles, vapor de agua, altimetría)",Operational,PDF
C13/24/0,24,Dispersometría (satélite),0,Dispersometría de viento,Operational,PDF
C13/25/0,25,Altimetría (satélite),0,Altimetría radárica,Operational,PDF
C13/26/0,26,Espectrometría (satélite),0,Espectrometría de onda corta a través del nadir (para aplicaciones químicas),Operational,PDF
C13/26/1,26,Espectrometría (satélite),1,Espectrometría en infrarrojos a través del nadir (para aplicaciones químicas),Operational,PDF
C13/26/2,26,Espectrometría (satélite),2,Espectrometría de sondeo límbico en onda corta,Operational,PDF
C13/26/3,26,Espectrometría (satélite),3,Espectrometría de sondeo límbico en infrarrojos,Operational,PDF
C13/26/4,26,Espectrometría (satélite),4,Espectrometría de sondeo límbico en ondas submilimétricas,Operational,PDF
C13/30/0,30,Conjunto de datos de calibración,0,Datos en subconjuntos,Operational,PDF
C13/30/1,30,Conjunto de datos de calibración,1,Datos coubicados,Operational,PDF
C13/30/2,30,Conjunto de datos de calibración,2,Datos de calibración a bordo,Operational,PDF
C13/30/3,30,Conjunto de datos de calibración,3,Monitoreo de errores sistemáticos,Operational,PDF
C13/30/4,30,Conjunto de datos de calibración,4,Corrección en tiempo casi real,Operational,PDF
C13/30/5,30,Conjunto de datos de calibración,5,Corrección de reanálisis,Operational,PDF
C13/31/0,31,Datos oceanográficos,0,Observación en superficie,Operational,PDF
C13/31/1,31,Datos oceanográficos,1,Imágenes de barrido cónico en microondas (frecuencias intermedias),Operational,PDF
C13/31/2,31,Datos oceanográficos,2,Imágenes en microondas de baja frecuencia,Operational,PDF
C13/31/3,31,Datos oceanográficos,3,Imágenes del color del océano,Operational,PDF
C13/31/4,31,Datos oceanográficos,4,Imágenes con geometría de visualización especial,Operational,PDF
C13/31/5,31,Datos oceanográficos,5,Imágenes de rayos,Operational,PDF
C13/31/6,31,Datos oceanográficos,6,Imágenes en onda corta de alta resultado para observaciones terrestres,Operational,PDF
C13/31/7,31,Datos oceanográficos,7,Datos SMOS,Operational,PDF
C13/31/8,31,Datos oceanográficos,8,,Operational,PDF
