ID,CodeFigure,Meaning_ru,ChemicalFormula,Status,translation_source
C14/30050,30050,Мышьяк-73,As-73,Operational,PDF
C14/30051,30051,Селен-75,Se-75,Operational,PDF
C14/30052,30052,Селен-79,Se-79,Operational,PDF
C14/30053,30053,Рубидий-81,Rb-81,Operational,PDF
C14/30054,30054,Рубидий-83,Rb-83,Operational,PDF
C14/30055,30055,Рубидий-84,Rb-84,Operational,PDF
C14/30056,30056,Рубидий-86,Rb-86,Operational,PDF
C14/30057,30057,Рубидий-87,Rb-87,Operational,PDF
C14/30058,30058,Рубидий-88,Rb-88,Operational,PDF
C14/30059,30059,Криптон-85,Kr-85,Operational,PDF
C14/30060,30060,Криптон-85 метастабильный,Kr-85m,Operational,PDF
C14/30061,30061,Криптон-87,Kr-87,Operational,PDF
C14/30062,30062,Криптон-88,Kr-88,Operational,PDF
C14/30063,30063,Криптон-89,Kr-89,Operational,PDF
C14/30064,30064,Стронций-85,Sr-85,Operational,PDF
C14/30065,30065,Стронций-89,Sr-89,Operational,PDF
C14/30066,30066,Стронций-89/90,Sr-8990,Operational,PDF
C14/30067,30067,Стронций-90,Sr-90,Operational,PDF
C14/30068,30068,Стронций-91,Sr-91,Operational,PDF
C14/30069,30069,Стронций-92,Sr-92,Operational,PDF
C14/30070,30070,Иттрий-87,Y-87,Operational,PDF
C14/30071,30071,Иттрий-88,Y-88,Operational,PDF
C14/30072,30072,Иттрий-90,Y-90,Operational,PDF
C14/30073,30073,Иттрий-91,Y-91,Operational,PDF
C14/30074,30074,Иттрий-91 метастабильный,Y-91m,Operational,PDF
C14/30075,30075,Иттрий-92,Y-92,Operational,PDF
C14/30076,30076,Иттрий-93,Y-93,Operational,PDF
C14/30077,30077,Цирконий-89,Zr-89,Operational,PDF
C14/30078,30078,Цирконий-93,Zr-93,Operational,PDF
C14/30079,30079,Цирконий-95,Zr-95,Operational,PDF
C14/30080,30080,Цирконий-97,Zr-97,Operational,PDF
C14/30081,30081,Ниобий-93 метастабильный,Nb-93m,Operational,PDF
C14/30082,30082,Ниобий-94,Nb-94,Operational,PDF
C14/30083,30083,Ниобий-95,Nb-95,Operational,PDF
C14/30084,30084,Ниобий-95 метастабильный,Nb-95m,Operational,PDF
C14/30085,30085,Ниобий-97,Nb-97,Operational,PDF
C14/30086,30086,Ниобий-97 метастабильный,Nb-97m,Operational,PDF
C14/30087,30087,Молибден-93,Mo-93,Operational,PDF
C14/30088,30088,Молибден-99,Mo-99,Operational,PDF
C14/30089,30089,,Tc-95m,Operational,NA
C14/30090,30090,,Tc-96,Operational,NA
C14/30091,30091,,Tc-99,Operational,NA
C14/30092,30092,,Tc-99m,Operational,NA
C14/30093,30093,Родий-99,Rh-99,Operational,PDF
C14/30094,30094,Родий-101,Rh-101,Operational,PDF
C14/30095,30095,Родий-102 метастабильный,Rh-102m,Operational,PDF
C14/30096,30096,Родий-103 метастабильный,Rh-103m,Operational,PDF
C14/30097,30097,Родий-105,Rh-105,Operational,PDF
C14/30098,30098,Родий-106,Rh-106,Operational,PDF
C14/30099,30099,Палладий-100,Pd-100,Operational,PDF
C14/30100,30100,Палладий-103,Pd-103,Operational,PDF
C14/30101,30101,Палладий-107,Pd-107,Operational,PDF
C14/30102,30102,Рутений-103,Ru-103,Operational,PDF
C14/30103,30103,Рутений-105,Ru-105,Operational,PDF
C14/30104,30104,Рутений-106,Ru-106,Operational,PDF
C14/30105,30105,Серебро-108 метастабильный,Ag-108m,Operational,PDF
C14/30106,30106,Серебро-110 метастабильный,Ag-110m,Operational,PDF
C14/30107,30107,Кадмий-109,Cd-109,Operational,PDF
C14/30108,30108,Кадмий-113 метастабильный,Cd-113m,Operational,PDF
C14/30109,30109,Кадмий-115 метастабильный,Cd-115m,Operational,PDF
C14/30110,30110,Индий-114 метастабильный,In-114m,Operational,PDF
C14/30111,30111,Олово-113,Sn-113,Operational,PDF
C14/30112,30112,Олово-119 метастабильный,Sn-119m,Operational,PDF
C14/30113,30113,Олово-121 метастабильный,Sn-121m,Operational,PDF
C14/30114,30114,Олово-122,Sn-122,Operational,PDF
C14/30115,30115,Олово-123,Sn-123,Operational,PDF
C14/30116,30116,Олово-126,Sn-126,Operational,PDF
C14/30117,30117,Сурьма-124,Sb-124,Operational,PDF
C14/30118,30118,Сурьма-125,Sb-125,Operational,PDF
C14/30119,30119,Сурьма-126,Sb-126,Operational,PDF
C14/30120,30120,Сурьма-127,Sb-127,Operational,PDF
C14/30121,30121,Сурьма-129,Sb-129,Operational,PDF
C14/30122,30122,Теллур-123 метастабильный,Te-123m,Operational,PDF
C14/30123,30123,Теллур-125 метастабильный,Te-125m,Operational,PDF
C14/30124,30124,Теллур-127,Te-127,Operational,PDF
C14/30125,30125,Теллур-127 метастабильный,Te-127m,Operational,PDF
C14/30126,30126,Теллур-129,Te-129,Operational,PDF
C14/30127,30127,Теллур-129 метастабильный,Te-129m,Operational,PDF
C14/30128,30128,Теллур-131 метастабильный,Te-131m,Operational,PDF
C14/30129,30129,Теллур-132,Te-132,Operational,PDF
C14/30130,30130,Йод-123,I-123,Operational,PDF
C14/30131,30131,Йод-124,I-124,Operational,PDF
C14/30132,30132,Йод-125,I-125,Operational,PDF
C14/30133,30133,Йод-126,I-126,Operational,PDF
C14/30134,30134,Йод-129,I-129,Operational,PDF
C14/30135,30135,Йод-129 элементарный газообразный,I-129g,Operational,PDF
C14/30136,30136,Йод-129 связанный органически,I-129o,Operational,PDF
