ID,CodeFigure_OriginatingCentres,Name_OriginatingCentres_ru,CodeFigure_SubCentres,Name_SubCentres_ru,Status,translation_source
C12/176/22,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",22,Мэдисон (США),Operational,PDF
C12/176/23,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",23,Майами (США),Operational,PDF
C12/176/24,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",24,Маягуэс (Пуэрто-Рико),Operational,PDF
C12/176/25,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",25,Монтерей (США),Operational,PDF
C12/176/26,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",26,Гуам,Operational,PDF
C12/176/27,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",27,Корваллис (США),Operational,PDF
C12/176/28,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",28,Хэмптон (США),Operational,PDF
C12/176/29,176,"Кооперативный институт метеорологических спутниковых исследований (КИМСИ), США",29,Нью-Йорк (США),Operational,PDF
C12/177/1,177,Национальная океаническая служба НУОА - США,1,Центр оперативной океанографической,Operational,PDF
C12/177/2,177,Национальная океаническая служба НУОА - США,2,Лаборатория по развитию исследований в прибрежной зоне,Operational,PDF
C12/183/1,183,,1,,Operational,NA
C12/183/2,183,,2,,Operational,NA
C12//6,,,,,Operational,NA
C12/2/201,2,Мельбурн,201,Касей,Operational,PDF
C12/2/203,2,Мельбурн,203,Дейвис,Operational,PDF
C12/2/210,2,Мельбурн,210,Элис-Спрингс,Operational,PDF
C12/2/211,2,Мельбурн,211,Мельбурн Криб Поинт 1,Operational,PDF
C12/2/214,2,Мельбурн,214,Дарвин,Operational,PDF
C12/2/217,2,Мельбурн,217,Перт,Operational,PDF
C12/2/219,2,Мельбурн,219,Таунсвилл,Operational,PDF
C12/2/232,2,Мельбурн,232,Фиджи,Operational,PDF
C12/2/235,2,Мельбурн,235,Нумеа,Operational,PDF
C12/2/237,2,Мельбурн,237,Папеэте,Operational,PDF
C12/2/250,2,Мельбурн,250,Владивосток,Operational,PDF
C12/2/251,2,Мельбурн,251,Гуам,Operational,PDF
C12/2/252,2,Мельбурн,252,Гонолулу,Operational,PDF
C12/69/204,69,Веллингтон (РСМЦ),204,Национальный институт водных и атмосферных исследований (НИВА - Новая Зеландия),Operational,PDF
C12/69/205,69,Веллингтон (РСМЦ),205,Ниуэ,Operational,PDF
C12/69/206,69,Веллингтон (РСМЦ),206,Раротонга (Острова Кука),Operational,PDF
C12/69/207,69,Веллингтон (РСМЦ),207,Апиа (Самоа),Operational,PDF
C12/69/208,69,Веллингтон (РСМЦ),208,Тонга,Operational,PDF
C12/69/209,69,Веллингтон (РСМЦ),209,Тувалу,Operational,PDF
C12/69/210,69,Веллингтон (РСМЦ),210,Кирибати,Operational,PDF
C12/69/211,69,Веллингтон (РСМЦ),211,Токелау,Operational,PDF
C12/69/243,69,Веллингтон (РСМЦ),243,Келберн,Operational,PDF
C12/72/249,72,Сингапур,249,Сингапур,Operational,PDF
C12/191/1,191,Французская Полинезия (НМЦ),1,Станция РАРС на Таити (Французская Полинезия),Operational,PDF
C12/204/101,204,Национальный институт водных и атмосферных исследований (NIWA - Новая Зеландия),101,Маупия,Operational,PDF
C12/204/102,204,Национальный институт водных и атмосферных исследований (NIWA - Новая Зеландия),102,Лаудер,Operational,PDF
C12//7,,,,,Operational,NA
C12/74/1,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",1,Шануикский центр по контролю океанических данных,Operational,PDF
C12/74/2,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",2,Фучино,Operational,PDF
C12/74/3,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",3,Гатино,Operational,PDF
C12/74/4,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",4,Маспаломас,Operational,PDF
C12/74/5,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",5,Центральный комплекс СДЗЗ ЕКА,Operational,PDF
C12/74/6,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",6,Принц Альберт,Operational,PDF
C12/74/7,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",7,Уэст-Фрёйг,Operational,PDF
C12/74/13,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",13,Тромсё,Operational,PDF
C12/74/21,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",21,Итальянское космическое агентство (Италия),Operational,PDF
C12/74/22,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",22,Национальный центр научных исследований (Франция),Operational,PDF
C12/74/23,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",23,Центр геоисследований (Германия),Operational,PDF
C12/74/24,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",24,Геодезическая обсерватория Печни (Чехия),Operational,PDF
C12/74/25,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",25,Институт космических исследований Каталонии (Испания),Operational,PDF
C12/74/26,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",26,Швейцарское федеральное бюро топографии,Operational,PDF
C12/74/27,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",27,Скандинавская геодезическая комиссия (Норвегия),Operational,PDF
C12/74/28,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",28,Скандинавская геодезическая комиссия (Швеция),Operational,PDF
C12/74/29,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",29,Национальный географический институт (Франция) - Отдел геодезии,Operational,PDF
C12/74/30,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",30,Федеральное управление картографии и геодезии (Германия),Operational,PDF
C12/74/31,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",31,Институт геодезии и проведения съемок с помощью инженерно-технологических спутников (СК),Operational,PDF
C12/74/32,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",32,Совместный оперативный центр по метеорологии и океанографии (СОЦМО),Operational,PDF
C12/74/33,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",33,Королевский нидерландский метеорологический институт (Нидерланды),Operational,PDF
C12/74/34,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",34,Скандинавский центр анализа атмосферы с использованием ГСОМ (Швеция),Operational,PDF
C12/74/35,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",35,,Operational,PDF
C12/74/36,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",36,Метеорологическая служба Ирландии (Ирландия),Operational,PDF
C12/74/37,74,"Метеорологическое бюро СК, Эксетер (РСМЦ)",37,Королевская обсерватория Бельгии (Бельгия),Operational,PDF
