ID,CodeFigure_DataCategories,Name_DataCategories_ru,CodeFigure_InternationalDataSubcategories,Name_InternationalDataSubcategories_ru,Status,translation_source
C13/7/3,7,Синоптические характеристики,3,,Operational,PDF
C13/7/4,7,Синоптические характеристики,4,,Operational,PDF
C13/8/0,8,Физические/химические,0,Приземный озон,Operational,PDF
C13/8/1,8,Физические/химические,1,Вертикальное зондирование озона,Operational,PDF
C13/8/2,8,Физические/химические,2,Общее содержание озона,Operational,PDF
C13/8/3,8,Физические/химические,3,Кислотный дождь,Operational,PDF
C13/8/4,8,Физические/химические,4,,Operational,PDF
C13/9/0,9,Дисперсия и перенос,0,"Траектории, анализ или прогноз",Operational,PDF
C13/10/1,10,Радиологические данные,1,Наблюдение (RADREP),Operational,PDF
C13/10/2,10,Радиологические данные,2,Прогноз (RADOF),Operational,PDF
C13/12/0,12,Приземные данные,0,ERS-uwa,Operational,PDF
C13/12/1,12,Приземные данные,1,ERS-uwi,Operational,PDF
C13/12/2,12,Приземные данные,2,ERS-ura,Operational,PDF
C13/12/3,12,Приземные данные,3,ERS-uat,Operational,PDF
C13/12/4,12,Приземные данные,4,,Operational,PDF
C13/12/5,12,Приземные данные,5,Quickscat,Operational,PDF
C13/12/6,12,Приземные данные,6,Приземная температура/радиация (SATOB),Operational,PDF
C13/12/7,12,Приземные данные,7,Данные ASCAT,Operational,PDF
C13/12/8,12,Приземные данные,8,Влажность почвы,Operational,PDF
C13/12/9,12,Приземные данные,9,Стандартизованный индекс различий растительного покрова (НДВИ),Operational,PDF
C13/12/10,12,Приземные данные,10,Нормализованные данные обратного рассеяния радиолокационных сигналов,Operational,PDF
C13/12/11,12,Приземные данные,11,Излучательная способность поверхности,Operational,PDF
C13/12/12,12,Приземные данные,12,Температура поверхности моря,Operational,PDF
C13/12/13,12,Приземные данные,13,Осадки,Operational,PDF
C13/21/0,21,Радиация (измеренная,0,Радиационный баланс Земли,Operational,PDF
C13/21/5,21,Радиация (измеренная,5,Инфракрасный зондировщик для зондирования поперек трассы,Operational,PDF
C13/21/6,21,Радиация (измеренная,6,Микроволновый зонд с использованием усовершенствованной технологии,Operational,PDF
C13/21/7,21,Радиация (измеренная,7,Радиометрический блок для получения изображений в видимом/ИК диапазонах,Operational,PDF
C13/22/0,22,"Радиолокатор (спутниковый),",0,Радиолокатор для обнаружения облачности,Operational,PDF
C13/22/1,22,"Радиолокатор (спутниковый),",1,Радиолокатор с синтетической апертурой,Operational,PDF
C13/23/0,23,Лидар (спутниковый),0,"Программы измерений с использованием лидаров (для ветра, облаков/аэрозолей, водяного пара, альтиметрии)",Operational,PDF
C13/24/0,24,Скаттерометрия (спутниковая),0,Скаттерометрия - ветер,Operational,PDF
C13/25/0,25,Альтиметрия (спутниковая),0,Радиолокационная альтиметрия,Operational,PDF
C13/26/0,26,Спектрометрия (спутниковая),0,Коротковолновая спектрометриянадирные измерения (для химии атмосферы),Operational,PDF
C13/26/1,26,Спектрометрия (спутниковая),1,ИК-спектрометрия - надирные измерения (для химии атмосферы),Operational,PDF
C13/26/2,26,Спектрометрия (спутниковая),2,Коротковолновая спектрометрия лимбового зондирования атмосферы,Operational,PDF
C13/26/3,26,Спектрометрия (спутниковая),3,ИК-спектрометрия лимбового зондирования атмосферы,Operational,PDF
C13/26/4,26,Спектрометрия (спутниковая),4,Субмиллиметровая спектрометрия лимбового зондирования атмосферы,Operational,PDF
C13/30/0,30,Массив калибровочных,0,Поднаборы данных,Operational,PDF
C13/30/1,30,Массив калибровочных,1,Сопоставленные данные,Operational,PDF
C13/30/2,30,Массив калибровочных,2,Данные бортовой калибровки,Operational,PDF
C13/30/3,30,Массив калибровочных,3,Мониторинг систематических ошибок,Operational,PDF
C13/30/4,30,Массив калибровочных,4,Коррекция в близком к реальному масштабе времени,Operational,PDF
C13/30/5,30,Массив калибровочных,5,Коррекция посредством реанализа,Operational,PDF
C13/31/0,31,Океанографические данные,0,Приземные наблюдения,Operational,PDF
C13/31/1,31,Океанографические данные,1,Приземные наблюдения вдоль трассы (TRACKOB),Operational,PDF
C13/31/2,31,Океанографические данные,2,Наблюдения волнового спектра (WAVEOB),Operational,PDF
C13/31/3,31,Океанографические данные,3,Батитермические наблюдения (BATHY),Operational,PDF
C13/31/4,31,Океанографические данные,4,Сообщения с подповерхностных буев (профили),Operational,PDF
C13/31/5,31,Океанографические данные,5,Профили XBT/XCTD (TESAC),Operational,PDF
C13/31/6,31,Океанографические данные,6,Сводки данных о волнах,Operational,PDF
C13/31/7,31,Океанографические данные,7,Данные прибора для измерения волн цунами,Operational,PDF
C13/31/8,31,Океанографические данные,8,,Operational,PDF
C13/32/0,32,,0,,Operational,NA
C13/101/0,101,Данные изображений,0,Многоцелевые изображения в видимом и,Operational,PDF
C13/101/1,101,Данные изображений,1,Изображения при коническом сканировании в микроволновом диапазоне (промежуточные частоты),Operational,PDF
C13/101/2,101,Данные изображений,2,Изображения в низкочастотной части микроволнового диапазона,Operational,PDF
C13/101/3,101,Данные изображений,3,Изображения цветности океана,Operational,PDF
C13/101/4,101,Данные изображений,4,Изображения со специальной геометрией обзора,Operational,PDF
C13/101/5,101,Данные изображений,5,Изображения молний,Operational,PDF
C13/101/6,101,Данные изображений,6,"Изображения высокого разрешения, полученные в коротковолновом диапазоне для наблюдения суши",Operational,PDF
C13/101/7,101,Данные изображений,7,Данные по СМОС,Operational,PDF
