ID,CodeFigure,Meaning_fr,ChemicalFormula,Status,translation_source
C14/30197,30197,Holmium 166 métastable,Ho-166m,Operational,PDF
C14/30198,30198,Thulium 170,Tm-170,Operational,PDF
C14/30199,30199,Ytterbium 169,Yb-169,Operational,PDF
C14/30200,30200,Hafnium 175,Hf-175,Operational,PDF
C14/30201,30201,Hafnium 181,Hf-181,Operational,PDF
C14/30202,30202,Tantale 179,Ta-179,Operational,PDF
C14/30203,30203,Tantale 182,Ta-182,Operational,PDF
C14/30204,30204,Rhénium 184,Re-184,Operational,PDF
C14/30205,30205,Iridium 192,Ir-192,Operational,PDF
C14/30206,30206,Mercure 203,Hg-203,Operational,PDF
C14/30207,30207,Thallium 204,Tl-204,Operational,PDF
C14/30208,30208,Thallium 207,Tl-207,Operational,PDF
C14/30209,30209,Thallium 208,Tl-208,Operational,PDF
C14/30210,30210,Thallium 209,Tl-209,Operational,PDF
C14/30211,30211,Bismuth 205,Bi-205,Operational,PDF
C14/30212,30212,Bismuth 207,Bi-207,Operational,PDF
C14/30213,30213,Bismuth 210,Bi-210,Operational,PDF
C14/30214,30214,Bismuth 211,Bi-211,Operational,PDF
C14/30215,30215,Bismuth 212,Bi-212,Operational,PDF
C14/30216,30216,Bismuth 213,Bi-213,Operational,PDF
C14/30217,30217,Bismuth 214,Bi-214,Operational,PDF
C14/30218,30218,Polonium 208,Po-208,Operational,PDF
C14/30219,30219,Polonium 210,Po-210,Operational,PDF
C14/30220,30220,Polonium 212,Po-212,Operational,PDF
C14/30221,30221,Polonium 213,Po-213,Operational,PDF
C14/30222,30222,Polonium 214,Po-214,Operational,PDF
C14/30223,30223,Polonium 215,Po-215,Operational,PDF
C14/30224,30224,Polonium 216,Po-216,Operational,PDF
C14/30225,30225,,Po-218,Operational,NA
C14/30226,30226,Plomb 209,Pb-209,Operational,PDF
C14/30227,30227,Plomb 210,Pb-210,Operational,PDF
C14/30228,30228,Plomb 211,Pb-211,Operational,PDF
C14/30229,30229,Plomb 212,Pb-212,Operational,PDF
C14/30230,30230,Plomb 214,Pb-214,Operational,PDF
C14/30231,30231,Astate 217,At-217,Operational,PDF
C14/30232,30232,Radon 219,Rn-219,Operational,PDF
C14/30233,30233,Radon 220,Rn-220,Operational,PDF
C14/30234,30234,Radon 222,Rn-222,Operational,PDF
C14/30235,30235,Francium 221,Fr-221,Operational,PDF
C14/30236,30236,Francium 223,Fr-223,Operational,PDF
C14/30237,30237,Radium 223,Ra-223,Operational,PDF
C14/30238,30238,Radium 224,Ra-224,Operational,PDF
C14/30239,30239,Radium 225,Ra-225,Operational,PDF
C14/30240,30240,Radium 226,Ra-226,Operational,PDF
C14/30241,30241,Radium 228,Ra-228,Operational,PDF
C14/30242,30242,,Ac-225,Operational,NA
C14/30243,30243,,Ac-227,Operational,NA
C14/30244,30244,,Ac-228,Operational,NA
C14/30245,30245,Thorium 227,Th-227,Operational,PDF
C14/30246,30246,Thorium 228,Th-228,Operational,PDF
C14/30247,30247,Thorium 229,Th-229,Operational,PDF
C14/30248,30248,Thorium 230,Th-230,Operational,PDF
C14/30249,30249,Thorium 231,Th-231,Operational,PDF
C14/30250,30250,Thorium 232,Th-232,Operational,PDF
C14/30251,30251,Thorium 234,Th-234,Operational,PDF
C14/30252,30252,Protactinium 231,Pa-231,Operational,PDF
C14/30253,30253,Protactinium 233,Pa-233,Operational,PDF
C14/30254,30254,Protactinium 234 métastable,Pa-234m,Operational,PDF
C14/30255,30255,Uranium 232,U-232,Operational,PDF
C14/30256,30256,Uranium 233,U-233,Operational,PDF
C14/30257,30257,Uranium 234,U-234,Operational,PDF
C14/30258,30258,Uranium 235,U-235,Operational,PDF
C14/30259,30259,Uranium 236,U-236,Operational,PDF
C14/30260,30260,Uranium 237,U-237,Operational,PDF
C14/30261,30261,Uranium 238,U-238,Operational,PDF
C14/30262,30262,Plutonium 236,Pu-236,Operational,PDF
C14/30263,30263,Plutonium 238,Pu-238,Operational,PDF
C14/30264,30264,Plutonium 239,Pu-239,Operational,PDF
C14/30265,30265,Plutonium 240,Pu-240,Operational,PDF
C14/30266,30266,Plutonium 241,Pu-241,Operational,PDF
C14/30267,30267,Plutonium 242,Pu-242,Operational,PDF
C14/30268,30268,Plutonium 244,Pu-244,Operational,PDF
C14/30269,30269,Neptunium 237,Np-237,Operational,PDF
C14/30270,30270,Neptunium 238,Np-238,Operational,PDF
C14/30271,30271,,Np-239,Operational,NA
C14/30272,30272,Américium 241,Am-241,Operational,PDF
C14/30273,30273,Américium 242,Am-242,Operational,PDF
C14/30274,30274,Américium 242 métastable,Am-242m,Operational,PDF
C14/30275,30275,Américium 243,Am-243,Operational,PDF
C14/30276,30276,Curium 242,Cm-242,Operational,PDF
C14/30277,30277,Curium 243,Cm-243,Operational,PDF
C14/30278,30278,Curium 244,Cm-244,Operational,PDF
C14/30279,30279,Curium 245,Cm-245,Operational,PDF
C14/30280,30280,Curium 246,Cm-246,Operational,PDF
C14/30281,30281,Curium 247,Cm-247,Operational,PDF
C14/30282,30282,Curium 248,Cm-248,Operational,PDF
C14/30283,30283,Curium 243/244,Cm-243244,Operational,PDF
C14/30284,30284,Plutonium 238/Américium 241,Pu-238Am-241,Operational,PDF
C14/30285,30285,Plutonium 239/240,Pu-239240,Operational,PDF
C14/30286,30286,Berkélium 249,Bk-249,Operational,PDF
C14/30287,30287,Californium 249,Cf-249,Operational,PDF
C14/30288,30288,Californium 250,Cf-250,Operational,PDF
C14/30289,30289,Californium 252,Cf-252,Operational,PDF
C14/30290,30290,Somme des particules d'aérosols,SumAer,Operational,PDF
C14/30291,30291,Somme de l'iode,SumIod,Operational,PDF
C14/30292,30292,Somme des gaz rares,SumNG,Operational,PDF
C14/30293,30293,Gaz activateur,ActGas,Operational,PDF
C14/30294,30294,Équivalent Cs-137,EquCs137,Operational,PDF
C14/30295,30295,,C-13,Operational,NA
C14/30296,30296,Plomb,Pb,Operational,PDF
C14/30297,30297,,Te-131,Operational,NA
C14/30298,30298,,Nd-137,Operational,NA
C14/30299,30299,,,Operational,NA
C14/30300,30300,,Ag-112,Operational,NA
